,HPO_LABEL,OMIM,HPO,DOID_MAP,EDGES_TO_DOID
2108,Cleft palate,235730,0000175,674,0060485
2109,Microcephaly,235730,0000252,10907,0060485
2110,Otitis media,235730,0000388,10754,0060485
2111,Strabismus,235730,0000486,540,0060485
2112,Ptosis,235730,0000508,0060260,0060485
2113,Cataract,235730,0000518,83,0060485
2114,Esotropia,235730,0000565,9840,0060485
2115,Microphthalmia,235730,0000568,10629,0060485
2116,Coloboma,235730,0000589,12270,0060485
2117,Intellectual disability,235730,0001249,1059,0060485
2118,Ventricular septal defect,235730,0001629,1657,0060485
2119,Patent ductus arteriosus,235730,0001643,13832,0060485
2120,Constipation,235730,0002019,2089,0060485
2121,Pyloric stenosis,235730,0002021,12639,0060485
2122,Cryptorchidism,618958,0000028,11383,0112114
2123,Microcephaly,618958,0000252,10907,0112114
2124,Ptosis,618958,0000508,0060260,0112114
2125,Cataract,618958,0000518,83,0112114
2126,Syndactyly,618958,0001159,11193,0112114
2127,Metabolic acidosis,618958,0001942,0050758,0112114
2128,Hypoglycemia,618958,0001943,9993,0112114
2129,Cryptorchidism,275400,0000028,11383,0111271
2130,Hypogonadotropic hypogonadism,275400,0000044,0090070,0111271
2131,Hypogonadism,275400,0000135,1924,0111271
2132,Retinal degeneration,275400,0000546,8466,0111271
2133,Intellectual disability,275400,0001249,1059,0111271
2134,Alopecia,275400,0001596,987,0111271
2135,Hypopituitarism,275400,0040075,9406,0111271
2136,Cryptorchidism,249270,0000028,11383,0090117
2137,Retinal degeneration,249270,0000546,8466,0090117
2138,Optic atrophy,249270,0000648,5723,0090117
2139,Diabetes mellitus,249270,0000819,9351,0090117
2140,Ventricular septal defect,249270,0001629,1657,0090117
2141,Cardiomyopathy,249270,0001638,0050700,0090117
2142,Dextrocardia,249270,0001651,9565,0090117
2143,Thrombocytopenia,249270,0001873,1588,0090117
2144,Megaloblastic anemia,249270,0001889,13382,0090117
2145,Anemia,249270,0001903,2355,0090117
2146,Sideroblastic anemia,249270,0001924,8955,0090117
2147,Glucose intolerance,249270,0001952,10603,0090117
2148,Macrocytic anemia,249270,0001972,2361,0090117
2149,Cryptorchidism,600901,0000028,11383,0111084
2150,Renal agenesis,600901,0000104,14766,0111084
2151,Hypogonadism,600901,0000135,1924,0111084
2152,Microcephaly,600901,0000252,10907,0111084
2153,Strabismus,600901,0000486,540,0111084
2154,Microphthalmia,600901,0000568,10629,0111084
2155,Intellectual disability,600901,0001249,1059,0111084
2156,Thrombocytopenia,600901,0001873,1588,0111084
2157,Neutropenia,600901,0001875,1227,0111084
2158,Pancytopenia,600901,0001876,12450,0111084
2159,Anemia,600901,0001903,2355,0111084
2160,Leukemia,600901,0001909,1240,0111084
2161,Cryptorchidism,241410,0000028,11383,0060348
2162,Cleft palate,241410,0000175,674,0060348
2163,Cleft soft palate,241410,0000185,0110214,0060348
2164,Microcephaly,241410,0000252,10907,0060348
2165,Hypoparathyroidism,241410,0000829,11199,0060348
2166,Intellectual disability,241410,0001249,1059,0060348
2167,Hyperphosphatemia,241410,0002905,0050459,0060348
2168,Hypopituitarism,241410,0040075,9406,0060348
2169,Cryptorchidism,210710,0000028,11383,0060608
2170,Renal hypoplasia,210710,0000089,0080204,0060608
2171,Microcephaly,210710,0000252,10907,0060608
2172,Brachydactyly,210710,0001156,0050581,0060608
2173,Intellectual disability,210710,0001249,1059,0060608
2174,Lissencephaly,210710,0001339,0050453,0060608
2175,Cholestasis,210710,0001396,13580,0060608
2176,Oligohydramnios,210710,0001562,12215,0060608
2177,Tetralogy of Fallot,210710,0001636,6419,0060608
2178,Cryptorchidism,610253,0000028,11383,0060352
2179,Hypospadias,610253,0000047,10892,0060352
2180,Microcephaly,610253,0000252,10907,0060352
2181,Hypertrichosis,610253,0000998,420,0060352
2182,Brachydactyly,610253,0001156,0050581,0060352
2183,Intellectual disability,610253,0001249,1059,0060352
2184,Obesity,610253,0001513,9970,0060352
2185,Tracheomalacia,610253,0002779,0060313,0060352
2186,Cryptorchidism,615824,0000028,11383,0080116
2187,Hypertrichosis,615824,0000998,420,0080116
2188,Metabolic acidosis,615824,0001942,0050758,0080116
2189,Renal tubular acidosis,615824,0001947,14219,0080116
2190,Polydactyly,615824,0010442,1148,0080116
2191,Cryptorchidism,227645,0000028,11383,0111087
2192,Renal agenesis,227645,0000104,14766,0111087
2193,Hypogonadism,227645,0000135,1924,0111087
2194,Microcephaly,227645,0000252,10907,0111087
2195,Strabismus,227645,0000486,540,0111087
2196,Microphthalmia,227645,0000568,10629,0111087
2197,Intellectual disability,227645,0001249,1059,0111087
2198,Ventricular septal defect,227645,0001629,1657,0111087
2199,Thrombocytopenia,227645,0001873,1588,0111087
2200,Neutropenia,227645,0001875,1227,0111087
2201,Pancytopenia,227645,0001876,12450,0111087
2202,Anemia,227645,0001903,2355,0111087
2203,Leukemia,227645,0001909,1240,0111087
2204,Cryptorchidism,616559,0000028,11383,0060587
2205,Ptosis,616559,0000508,0060260,0060587
2206,Ventricular septal defect,616559,0001629,1657,0060587
2207,Cryptorchidism,613951,0000028,11383,0111092
2208,Microcephaly,613951,0000252,10907,0111092
2209,Blepharophimosis,613951,0000581,10348,0111092
2210,Vitiligo,613951,0001045,12306,0111092
2211,Pancytopenia,613951,0001876,12450,0111092
2212,Anemia,613951,0001903,2355,0111092
2213,Squamous cell carcinoma,613951,0002860,1749,0111092
2214,Cryptorchidism,613805,0000028,11383,0080516
2215,Microcephaly,613805,0000252,10907,0080516
2216,Cryptorchidism,610443,0000028,11383,0050880
2217,Vesicoureteral reflux,610443,0000076,9620,0050880
2218,Hydronephrosis,610443,0000126,11111,0050880
2219,Cleft palate,610443,0000175,674,0050880
2220,Microcephaly,610443,0000252,10907,0050880
2221,Cleft lip,610443,0410030,9296,0050880
2222,Strabismus,610443,0000486,540,0050880
2223,Ptosis,610443,0000508,0060260,0050880
2224,Cataract,610443,0000518,83,0050880
2225,Blepharophimosis,610443,0000581,10348,0050880
2226,Intellectual disability,610443,0001249,1059,0050880
2227,Laryngomalacia,610443,0001601,0080833,0050880
2228,Ventricular septal defect,610443,0001629,1657,0050880
2229,Patent ductus arteriosus,610443,0001643,13832,0050880
2230,Pyloric stenosis,610443,0002021,12639,0050880
2231,Scoliosis,610443,0002650,0060249,0050880
2232,Spondylolisthesis,610443,0003302,6682,0050880
2233,Aortic aneurysm,610443,0004942,3627,0050880
2234,Thoracic aortic aneurysm,610443,0012727,14004,0050880
2235,Cryptorchidism,133540,0000028,11383,0080908
2236,Proteinuria,133540,0000093,576,0080908
2237,Hydrocephalus,133540,0000238,10908,0080908
2238,Microcephaly,133540,0000252,10907,0080908
2239,Strabismus,133540,0000486,540,0080908
2240,Cataract,133540,0000518,83,0080908
2241,Microphthalmia,133540,0000568,10629,0080908
2242,Optic atrophy,133540,0000648,5723,0080908
2243,Hypertension,133540,0000822,10763,0080908
2244,Osteoporosis,133540,0000939,11476,0080908
2245,Anhidrosis,133540,0000970,11156,0080908
2246,Intellectual disability,133540,0001249,1059,0080908
2247,Polyneuropathy,133540,0001271,1389,0080908
2248,Basal ganglia calcification,133540,0002135,0060230,0080908
2249,Normal pressure hydrocephalus,133540,0002343,1572,0080908
2250,Cryptorchidism,307030,0000028,11383,0060363
2251,Strabismus,307030,0000486,540,0060363
2252,Osteoporosis,307030,0000939,11476,0060363
2253,Intellectual disability,307030,0001249,1059,0060363
2254,Metabolic acidosis,307030,0001942,0050758,0060363
2255,Hypoglycemia,307030,0001943,9993,0060363
2256,Myopathy,307030,0003198,423,0060363
2257,Muscular dystrophy,307030,0003560,9884,0060363
2258,Cryptorchidism,618067,0000028,11383,0080446
2259,Astigmatism,618067,0000483,11782,0080446
2260,Strabismus,618067,0000486,540,0080446
2261,Myopia,618067,0000545,11830,0080446
2262,Hypertrichosis,618067,0000998,420,0080446
2263,Intellectual disability,618067,0001249,1059,0080446
2264,Neutropenia,618067,0001875,1227,0080446
2265,Anemia,618067,0001903,2355,0080446
2266,Cryptorchidism,216400,0000028,11383,0080907
2267,Proteinuria,216400,0000093,576,0080907
2268,Hypogonadism,216400,0000135,1924,0080907
2269,Hydrocephalus,216400,0000238,10908,0080907
2270,Microcephaly,216400,0000252,10907,0080907
2271,Strabismus,216400,0000486,540,0080907
2272,Cataract,216400,0000518,83,0080907
2273,Optic atrophy,216400,0000648,5723,0080907
2274,Dementia,216400,0000726,1307,0080907
2275,Hypertension,216400,0000822,10763,0080907
2276,Anhidrosis,216400,0000970,11156,0080907
2277,Intellectual disability,216400,0001249,1059,0080907
2278,Polyneuropathy,216400,0001271,1389,0080907
2279,Basal ganglia calcification,216400,0002135,0060230,0080907
2280,Normal pressure hydrocephalus,216400,0002343,1572,0080907
2281,Cryptorchidism,244200,0000028,11383,0090092
2282,Hypogonadotropic hypogonadism,244200,0000044,0090070,0090092
2283,Renal agenesis,244200,0000104,14766,0090092
2284,Hypogonadism,244200,0000135,1924,0090092
2285,Amenorrhea,244200,0000141,13938,0090092
2286,Cleft palate,244200,0000175,674,0090092
2287,Cleft lip,244200,0410030,9296,0090092
2288,Cryptorchidism,148050,0000028,11383,14780
2289,Microcephaly,148050,0000252,10907,14780
2290,Syndactyly,148050,0001159,11193,14780
2291,Intellectual disability,148050,0001249,1059,14780
2292,Tooth agenesis,148050,0009804,0050591,14780
2293,Cryptorchidism,615663,0000028,11383,0110719
2294,Microcephaly,615663,0000252,10907,0110719
2295,Glaucoma,615663,0000501,1686,0110719
2296,Ptosis,615663,0000508,0060260,0110719
2297,Cataract,615663,0000518,83,0110719
2298,Microphthalmia,615663,0000568,10629,0110719
2299,Optic atrophy,615663,0000648,5723,0110719
2300,Intellectual disability,615663,0001249,1059,0110719
2301,Polymicrogyria,615663,0002126,0080918,0110719
2302,Status epilepticus,615663,0002133,1824,0110719
2303,Cryptorchidism,603671,0000028,11383,0060342
2304,Cleft palate,603671,0000175,674,0060342
2305,Cleft lip,603671,0410030,9296,0060342
2306,Glaucoma,603671,0000501,1686,0060342
2307,Ptosis,603671,0000508,0060260,0060342
2308,Myopia,603671,0000545,11830,0060342
2309,Syndactyly,603671,0001159,11193,0060342
2310,Intellectual disability,603671,0001249,1059,0060342
2311,Hypopituitarism,603671,0040075,9406,0060342
2312,Polydactyly,603671,0010442,1148,0060342
2313,Lipoma,603671,0012032,3315,0060342
2314,Periventricular nodular heterotopia,603671,0032388,0050454,0060342
2315,Cryptorchidism,616788,0000028,11383,0080408
2316,Cleft palate,616788,0000175,674,0080408
2317,Cleft lip,616788,0410030,9296,0080408
2318,Ectropion,616788,0000656,1570,0080408
2319,Tooth agenesis,616788,0009804,0050591,0080408
2320,Cryptorchidism,613861,0000028,11383,0110352
2321,Cystoid macular edema,613861,0011505,4447,0110352
2322,Cryptorchidism,300000,0000028,11383,0080697
2323,Hypospadias,300000,0000047,10892,0080697
2324,Cleft palate,300000,0000175,674,0080697
2325,Cleft lip,300000,0410030,9296,0080697
2326,Cryptorchidism,267000,0000028,11383,0060476
2327,Congenital diaphragmatic hernia,267000,0000776,3827,0060476
2328,Polyhydramnios,267000,0001561,8488,0060476
2329,Nephroblastoma,267000,0002667,2154,0060476
2330,Intestinal atresia,267000,0011100,10486,0060476
2331,Cryptorchidism,615633,0000028,11383,0110095
2332,Nephrocalcinosis,615633,0000121,12679,0110095
2333,Brachydactyly,615633,0001156,0050581,0110095
2334,Obesity,615633,0001513,9970,0110095
2335,Polyhydramnios,615633,0001561,8488,0110095
2336,Polydactyly,615633,0010442,1148,0110095
2337,Cryptorchidism,613823,0000028,11383,0070012
2338,Microcephaly,613823,0000252,10907,0070012
2339,Strabismus,613823,0000486,540,0070012
2340,Blepharophimosis,613823,0000581,10348,0070012
2341,Intellectual disability,613823,0001249,1059,0070012
2342,Tooth agenesis,613823,0009804,0050591,0070012
2343,Cryptorchidism,609942,0000028,11383,0060581
2344,Strabismus,609942,0000486,540,0060581
2345,Ptosis,609942,0000508,0060260,0060581
2346,Craniosynostosis,609942,0001363,2340,0060581
2347,Polyhydramnios,609942,0001561,8488,0060581
2348,Ventricular septal defect,609942,0001629,1657,0060581
2349,Mitral valve prolapse,609942,0001634,988,0060581
2350,Cardiomyopathy,609942,0001638,0050700,0060581
2351,Hypertrophic cardiomyopathy,609942,0001639,11984,0060581
2352,Patent ductus arteriosus,609942,0001643,13832,0060581
2353,Patent foramen ovale,609942,0001655,13620,0060581
2354,Tricuspid valve prolapse,609942,0001704,5644,0060581
2355,Leukemia,609942,0001909,1240,0060581
2356,Juvenile myelomonocytic leukemia,609942,0012209,0050458,0060581
2357,Myeloid leukemia,609942,0012324,8692,0060581
2358,Cryptorchidism,615803,0000028,11383,0060279
2359,Microcephaly,615803,0000252,10907,0060279
2360,Strabismus,615803,0000486,540,0060279
2361,Esotropia,615803,0000565,9840,0060279
2362,Scoliosis,615803,0002650,0060249,0060279
2363,Cryptorchidism,300960,0000028,11383,0111865
2364,Hydrocephalus,300960,0000238,10908,0111865
2365,Cataract,300960,0000518,83,0111865
2366,Syndactyly,300960,0001159,11193,0111865
2367,Intellectual disability,300960,0001249,1059,0111865
2368,Cerebellar hypoplasia,300960,0001321,0070338,0111865
2369,Aortic valve stenosis,300960,0001650,1712,0111865
2370,Ichthyosis,300960,0008064,1697,0111865
2371,Polydactyly,300960,0010442,1148,0111865
2372,Cryptorchidism,612702,0000028,11383,0090086
2373,Hypogonadotropic hypogonadism,612702,0000044,0090070,0090086
2374,Hypogonadism,612702,0000135,1924,0090086
2375,Amenorrhea,612702,0000141,13938,0090086
2376,Cleft lip,612702,0410030,9296,0090086
2377,Cryptorchidism,600118,0000028,11383,0110716
2378,Microcephaly,600118,0000252,10907,0110716
2379,Ptosis,600118,0000508,0060260,0110716
2380,Cataract,600118,0000518,83,0110716
2381,Microphthalmia,600118,0000568,10629,0110716
2382,Optic atrophy,600118,0000648,5723,0110716
2383,Osteoporosis,600118,0000939,11476,0110716
2384,Hypertrichosis,600118,0000998,420,0110716
2385,Intellectual disability,600118,0001249,1059,0110716
2386,Spastic diplegia,600118,0001264,10965,0110716
2387,Cerebellar hypoplasia,600118,0001321,0070338,0110716
2388,Polymicrogyria,600118,0002126,0080918,0110716
2389,Scoliosis,600118,0002650,0060249,0110716
2390,Cryptorchidism,616030,0000028,11383,0090081
2391,Hypogonadism,616030,0000135,1924,0090081
2392,Amenorrhea,616030,0000141,13938,0090081
2393,Cryptorchidism,225500,0000028,11383,12714
2395,Hypospadias,225500,0000047,10892,12714
2397,Cleft lip,225500,0410030,9296,12714
2399,Ectodermal dysplasia,225500,0000968,2121,12714
2401,Intellectual disability,225500,0001249,1059,12714
2403,Cerebellar hypoplasia,225500,0001321,0070338,12714
2405,Tooth agenesis,225500,0009804,0050591,12714
2407,Polydactyly,225500,0010442,1148,12714
2409,Cryptorchidism,604273,0000028,11383,0050768
2410,Hypospadias,604273,0000047,10892,0050768
2411,Microcephaly,604273,0000252,10907,0050768
2412,Cardiomyopathy,604273,0001638,0050700,0050768
2413,Hypertrophic cardiomyopathy,604273,0001639,11984,0050768
2414,Lactic acidosis,604273,0003128,3650,0050768
2415,3-Methylglutaconic aciduria,604273,0003535,0060336,0050768
2416,Cryptorchidism,613804,0000028,11383,0080515
2417,Microcephaly,613804,0000252,10907,0080515
2418,Cryptorchidism,154500,0000028,11383,0080789
2419,Cleft palate,154500,0000175,674,0080789
2420,Cleft soft palate,154500,0000185,0110214,0080789
2421,Choanal atresia,154500,0000453,9574,0080789
2422,Strabismus,154500,0000486,540,0080789
2423,Ptosis,154500,0000508,0060260,0080789
2424,Microphthalmia,154500,0000568,10629,0080789
2425,Intellectual disability,154500,0001249,1059,0080789
2426,Cryptorchidism,256520,0000028,11383,0080076
2427,Renal agenesis,256520,0000104,14766,0080076
2428,Cleft palate,256520,0000175,674,0080076
2429,Microcephaly,256520,0000252,10907,0080076
2430,Cleft lip,256520,0410030,9296,0080076
2431,Cataract,256520,0000518,83,0080076
2432,Microphthalmia,256520,0000568,10629,0080076
2433,Pterygium,256520,0001059,0002116,0080076
2434,Syndactyly,256520,0001159,11193,0080076
2435,Cerebellar hypoplasia,256520,0001321,0070338,0080076
2436,Lissencephaly,256520,0001339,0050453,0080076
2437,Polyhydramnios,256520,0001561,8488,0080076
2438,Ventricular septal defect,256520,0001629,1657,0080076
2439,Patent ductus arteriosus,256520,0001643,13832,0080076
2440,Patent foramen ovale,256520,0001655,13620,0080076
2441,Anencephaly,256520,0002323,0060668,0080076
2442,Hydranencephaly,256520,0002324,4626,0080076
2443,Spina bifida,256520,0002414,0080016,0080076
2444,Neural tube defect,256520,0045005,0080074,0080076
2445,Cryptorchidism,248340,0000028,11383,0060577
2446,Hypospadias,248340,0000047,10892,0060577
2447,Cleft palate,248340,0000175,674,0060577
2448,Cleft lip,248340,0410030,9296,0060577
2449,Ptosis,248340,0000508,0060260,0060577
2450,Blepharophimosis,248340,0000581,10348,0060577
2451,Intellectual disability,248340,0001249,1059,0060577
2452,Radioulnar synostosis,248340,0002974,9827,0060577
2453,Polydactyly,248340,0010442,1148,0060577
2454,Cryptorchidism,618652,0000028,11383,0111675
2455,Microcephaly,618652,0000252,10907,0111675
2456,Microphthalmia,618652,0000568,10629,0111675
2457,Coloboma,618652,0000589,12270,0111675
2458,Peters anomaly,618652,0000659,0060673,0111675
2459,Cutis laxa,618652,0000973,3144,0111675
2460,Intellectual disability,618652,0001249,1059,0111675
2461,Ventricular septal defect,618652,0001629,1657,0111675
2462,Patent ductus arteriosus,618652,0001643,13832,0111675
2463,Patent foramen ovale,618652,0001655,13620,0111675
2464,Cryptorchidism,257300,0000028,11383,0080141
2465,Hypospadias,257300,0000047,10892,0080141
2466,Cleft palate,257300,0000175,674,0080141
2467,Hydrocephalus,257300,0000238,10908,0080141
2468,Microcephaly,257300,0000252,10907,0080141
2469,Cataract,257300,0000518,83,0080141
2470,Intellectual disability,257300,0001249,1059,0080141
2471,Cerebellar hypoplasia,257300,0001321,0070338,0080141
2472,Oligohydramnios,257300,0001562,12215,0080141
2473,Leukemia,257300,0001909,1240,0080141
2474,Sarcoma,257300,0100242,1115,0080141
2475,Nephroblastoma,257300,0002667,2154,0080141
2476,Rhabdomyosarcoma,257300,0002859,3247,0080141
2477,Combined immunodeficiency,257300,0005387,0111962,0080141
2478,Cryptorchidism,301900,0000028,11383,0050681
2479,Microcephaly,301900,0000252,10907,0050681
2480,Ptosis,301900,0000508,0060260,0050681
2481,Blepharophimosis,301900,0000581,10348,0050681
2482,Gynecomastia,301900,0000771,12698,0050681
2483,Intellectual disability,301900,0001249,1059,0050681
2484,Obesity,301900,0001513,9970,0050681
2485,Scoliosis,301900,0002650,0060249,0050681
2486,Cryptorchidism,236700,0000028,11383,0111255
2487,Hydronephrosis,236700,0000126,11111,0111255
2488,Syndactyly,236700,0001159,11193,0111255
2489,Polydactyly,236700,0010442,1148,0111255
2490,Cryptorchidism,300882,0000028,11383,0080509
2491,Hypogonadism,300882,0000135,1924,0080509
2492,Cleft palate,300882,0000175,674,0080509
2493,Microcephaly,300882,0000252,10907,0080509
2494,Ptosis,300882,0000508,0060260,0080509
2495,Myopia,300882,0000545,11830,0080509
2496,Hypertrichosis,300882,0000998,420,0080509
2497,Syndactyly,300882,0001159,11193,0080509
2498,Intellectual disability,300882,0001249,1059,0080509
2499,Obesity,300882,0001513,9970,0080509
2500,Cryptorchidism,304110,0000028,11383,14737
2501,Hypospadias,304110,0000047,10892,14737
2502,Cleft palate,304110,0000175,674,14737
2503,Cleft lip,304110,0410030,9296,14737
2504,Strabismus,304110,0000486,540,14737
2505,Exotropia,304110,0000577,1143,14737
2506,Congenital diaphragmatic hernia,304110,0000776,3827,14737
2507,Pterygium,304110,0001059,0002116,14737
2508,Brachydactyly,304110,0001156,0050581,14737
2509,Syndactyly,304110,0001159,11193,14737
2510,Craniosynostosis,304110,0001363,2340,14737
2511,Umbilical hernia,304110,0001537,0060321,14737
2512,Epididymitis,608106,0000031,9402,0060759
2513,Hypogonadotropic hypogonadism,212840,0000044,0090070,0111587
2514,Hypogonadism,212840,0000135,1924,0111587
2515,Dementia,212840,0000726,1307,0111587
2516,Infertility,212840,0000789,5223,0111587
2517,Hypogonadotropic hypogonadism,614842,0000044,0090070,0090073
2518,Hypogonadism,614842,0000135,1924,0090073
2519,Hypogonadotropic hypogonadism,600955,0000044,0090070,0111698
2520,Hypogonadism,600955,0000135,1924,0111698
2521,Amenorrhea,600955,0000141,13938,0111698
2522,Obesity,600955,0001513,9970,0111698
2523,Hypoglycemia,600955,0001943,9993,0111698
2524,Diarrhea,600955,0002014,13250,0111698
2525,Hypogonadotropic hypogonadism,604250,0000044,0090070,0111030
2526,Hypogonadism,604250,0000135,1924,0111030
2527,Amenorrhea,604250,0000141,13938,0111030
2528,Impotence,604250,0000802,1875,0111030
2529,Purpura,604250,0000979,3326,0111030
2530,Arthritis,604250,0001369,848,0111030
2531,Cardiomyopathy,604250,0001638,0050700,0111030
2532,Neutropenia,604250,0001875,1227,0111030
2533,Lymphopenia,604250,0001888,614,0111030
2534,Anemia,604250,0001903,2355,0111030
2535,Hypogonadotropic hypogonadism,614839,0000044,0090070,0090089
2536,Hypogonadism,614839,0000135,1924,0090089
2537,Amenorrhea,614839,0000141,13938,0090089
2538,Intellectual disability,614839,0001249,1059,0090089
2539,Hypogonadotropic hypogonadism,215470,0000044,0090070,0111265
2540,Hypogonadism,215470,0000135,1924,0111265
2541,Intellectual disability,215470,0001249,1059,0111265
2542,Hypogonadotropic hypogonadism,614838,0000044,0090070,0090085
2543,Hypogonadism,614838,0000135,1924,0090085
2544,Cleft palate,614838,0000175,674,0090085
2545,Cleft lip,614838,0410030,9296,0090085
2546,Gynecomastia,614838,0000771,12698,0090085
2547,Osteoporosis,614838,0000939,11476,0090085
2548,Hypogonadotropic hypogonadism,241080,0000044,0090070,0112264
2549,Hypogonadism,241080,0000135,1924,0112264
2550,Anodontia,241080,0000674,13714,0112264
2551,Diabetes mellitus,241080,0000819,9351,0112264
2552,Intellectual disability,241080,0001249,1059,0112264
2553,Dystonia,241080,0001332,543,0112264
2554,Alopecia,241080,0001596,987,0112264
2555,Glucose intolerance,241080,0001952,10603,0112264
2556,Tooth agenesis,241080,0009804,0050591,0112264
2557,Hypospadias,140000,0000047,10892,0060739
2558,Ureteropelvic junction obstruction,140000,0000074,0111145,0060739
2559,Vesicoureteral reflux,140000,0000076,9620,0060739
2560,Nephritis,140000,0000123,10952,0060739
2561,Brachydactyly,140000,0001156,0050581,0060739
2562,Ureteral obstruction,140000,0006000,5199,0060739
2563,Pyelonephritis,140000,0012330,11400,0060739
2564,Hypospadias,601390,0000047,10892,0080585
2565,Renal hypoplasia,601390,0000089,0080204,0080585
2566,Ptosis,601390,0000508,0060260,0080585
2567,Blepharophimosis,601390,0000581,10348,0080585
2568,Syndactyly,601390,0001159,11193,0080585
2569,Intellectual disability,601390,0001249,1059,0080585
2570,Lissencephaly,601390,0001339,0050453,0080585
2571,Scoliosis,601390,0002650,0060249,0080585
2572,Tracheomalacia,601390,0002779,0060313,0080585
2573,Periventricular nodular heterotopia,601390,0032388,0050454,0080585
2574,Subcortical band heterotopia,601390,0032409,0111169,0080585
2575,Hypospadias,222470,0000047,10892,0111415
2576,Cleft palate,222470,0000175,674,0111415
2577,Cleft soft palate,222470,0000185,0110214,0111415
2578,Cholestasis,222470,0001396,13580,0111415
2579,Polyhydramnios,222470,0001561,8488,0111415
2580,Ventricular septal defect,222470,0001629,1657,0111415
2581,Tetralogy of Fallot,222470,0001636,6419,0111415
2582,Thrombocytosis,222470,0001894,2228,0111415
2583,Diarrhea,222470,0002014,13250,0111415
2584,Hypermethioninemia,222470,0003235,0050544,0111415
2585,Hypospadias,309801,0000047,10892,0111808
2588,Hydrocephalus,309801,0000238,10908,0111808
2591,Microcephaly,309801,0000252,10907,0111808
2594,Cataract,309801,0000518,83,0111808
2597,Microphthalmia,309801,0000568,10629,0111808
2600,Coloboma,309801,0000589,12270,0111808
2603,Sclerocornea,309801,0000647,0060252,0111808
2606,Congenital diaphragmatic hernia,309801,0000776,3827,0111808
2609,Intellectual disability,309801,0001249,1059,0111808
2612,Ventricular septal defect,309801,0001629,1657,0111808
2615,Cardiomyopathy,309801,0001638,0050700,0111808
2618,Hypospadias,210720,0000047,10892,0060609
2619,Microcephaly,210720,0000252,10907,0060609
2620,Diabetes mellitus,210720,0000819,9351,0060609
2621,Brachydactyly,210720,0001156,0050581,0060609
2622,Intellectual disability,210720,0001249,1059,0060609
2623,Obesity,210720,0001513,9970,0060609
2624,Glucose intolerance,210720,0001952,10603,0060609
2625,Hypospadias,617480,0000047,10892,0111764
2626,Hypospadias,302905,0000047,10892,0111826
2627,Cleft palate,302905,0000175,674,0111826
2628,Coloboma,302905,0000589,12270,0111826
2629,Radioulnar synostosis,302905,0002974,9827,0111826
2630,Hypospadias,614091,0000047,10892,0110090
2631,Renal hypoplasia,614091,0000089,0080204,0110090
2632,Cleft palate,614091,0000175,674,0110090
2633,Brachydactyly,614091,0001156,0050581,0110090
2634,Syndactyly,614091,0001159,11193,0110090
2635,Tooth agenesis,614091,0009804,0050591,0110090
2636,Polydactyly,614091,0010442,1148,0110090
2637,Hypospadias,242840,0000047,10892,0060356
2638,Cleft palate,242840,0000175,674,0060356
2639,Microcephaly,242840,0000252,10907,0060356
2640,Cleft lip,242840,0410030,9296,0060356
2641,Cataract,242840,0000518,83,0060356
2642,Ocular albinism,242840,0001107,0050633,0060356
2643,Cerebellar hypoplasia,242840,0001321,0070338,0060356
2644,Congestive heart failure,242840,0001635,6000,0060356
2645,Cardiomyopathy,242840,0001638,0050700,0060356
2646,Dilated cardiomyopathy,242840,0001644,12930,0060356
2647,Lymphopenia,242840,0001888,614,0060356
2648,Chronic mucocutaneous candidiasis,242840,0002728,2058,0060356
2649,Myopathy,242840,0003198,423,0060356
2650,Hypospadias,615985,0000047,10892,0110130
2651,Hypogonadism,615985,0000135,1924,0110130
2652,Intellectual disability,615985,0001249,1059,0110130
2653,Obesity,615985,0001513,9970,0110130
2654,Dextrocardia,615985,0001651,9565,0110130
2655,Polydactyly,615985,0010442,1148,0110130
2656,Hypospadias,606744,0000047,10892,0070013
2657,Microcephaly,606744,0000252,10907,0070013
2658,Microphthalmia,606744,0000568,10629,0070013
2659,Cerebellar hypoplasia,606744,0001321,0070338,0070013
2660,Hypospadias,180500,0000047,10892,0110120
2661,Megalocornea,180500,0000485,0060305,0110120
2662,Strabismus,180500,0000486,540,0110120
2663,Glaucoma,180500,0000501,1686,0110120
2664,Aniridia,180500,0000526,12271,0110120
2665,Hypopituitarism,180500,0040075,9406,0110120
2666,Tooth agenesis,180500,0009804,0050591,0110120
2667,Hypospadias,605231,0000047,10892,0110128
2668,Diabetes mellitus,605231,0000819,9351,0110128
2669,Syndactyly,605231,0001159,11193,0110128
2670,Intellectual disability,605231,0001249,1059,0110128
2671,Obesity,605231,0001513,9970,0110128
2672,Glucose intolerance,605231,0001952,10603,0110128
2673,Polydactyly,605231,0010442,1148,0110128
2674,Hypospadias,613762,0000047,10892,0111769
2675,Gonadoblastoma,613762,0000150,3301,0111769
2676,Dysgerminoma,613762,0100621,4441,0111769
2677,Germinoma,613762,0100620,3304,0111769
2678,Hypospadias,220210,0000047,10892,0060571
2679,Hydronephrosis,220210,0000126,11111,0060571
2680,Cleft palate,220210,0000175,674,0060571
2681,Hydrocephalus,220210,0000238,10908,0060571
2682,Coloboma,220210,0000589,12270,0060571
2683,Syndactyly,220210,0001159,11193,0060571
2684,Cerebellar hypoplasia,220210,0001321,0070338,0060571
2685,Ventricular septal defect,220210,0001629,1657,0060571
2686,Tetralogy of Fallot,220210,0001636,6419,0060571
2687,Aortic valve stenosis,220210,0001650,1712,0060571
