,HPO_LABEL,OMIM,HPO,MESH,DOID
2663,Hypospadias,140000,0000047,D007021,0060739
2664,Vesicoureteral reflux,140000,0000076,D014718,0060739
2665,Renal insufficiency,140000,0000083,D051437,0060739
2666,Nephritis,140000,0000123,D009393,0060739
2667,Brachydactyly,140000,0001156,D059327,0060739
2668,Ureteral obstruction,140000,0006000,D014517,0060739
2669,Hallux varus,140000,0008080,D050488,0060739
2670,Pyelonephritis,140000,0012330,D011704,0060739
2671,Hypospadias,601390,0000047,D007021,0080585
2672,Hypertelorism,601390,0000316,D006972,0080585
2673,Blepharophimosis,601390,0000581,D016569,0080585
2674,Syndactyly,601390,0001159,D013576,0080585
2675,Intellectual disability,601390,0001249,D008607,0080585
2676,Lissencephaly,601390,0001339,D054082,0080585
2677,Talipes,601390,0001883,D000070558,0080585
2678,Scoliosis,601390,0002650,D012600,0080585
2679,Tracheomalacia,601390,0002779,D055090,0080585
2680,Periventricular nodular heterotopia,601390,0032388,D054091,0080585
2681,Hypospadias,222470,0000047,D007021,0111415
2682,Cleft palate,222470,0000175,D002972,0111415
2683,Cleft soft palate,222470,0000185,C562950,0111415
2684,Hypertelorism,222470,0000316,D006972,0111415
2685,Jaundice,222470,0000952,D007565,0111415
2686,Cholestasis,222470,0001396,D002779,0111415
2687,Failure to thrive,222470,0001508,D005183,0111415
2688,Polyhydramnios,222470,0001561,D006831,0111415
2689,Tetralogy of Fallot,222470,0001636,D013771,0111415
2690,Thrombocytosis,222470,0001894,D013922,0111415
2691,Diarrhea,222470,0002014,D003967,0111415
2692,Hepatomegaly,222470,0002240,D006529,0111415
2693,Hypoalbuminemia,222470,0003073,D034141,0111415
2694,Hypermethioninemia,222470,0003235,C564683,0111415
2695,Hypospadias,309801,0000047,D007021,0111808
2698,Hydrocephalus,309801,0000238,D006849,0111808
2701,Microcephaly,309801,0000252,D008831,0111808
2704,Cataract,309801,0000518,D002386,0111808
2707,Coloboma,309801,0000589,D003103,0111808
2710,Sclerocornea,309801,0000647,C565209,0111808
2713,Intellectual disability,309801,0001249,D008607,0111808
2716,Agenesis of corpus callosum,309801,0001274,D061085,0111808
2719,Hernia,309801,0100790,D006547,0111808
2722,Corneal opacity,309801,0007957,D003318,0111808
2725,Colpocephaly,309801,0030048,C535973,0111808
2728,Hypospadias,210720,0000047,D007021,0060609
2729,Microcephaly,210720,0000252,D008831,0060609
2730,Retrognathia,210720,0000278,D063173,0060609
2731,Diabetes mellitus,210720,0000819,D003920,0060609
2732,Brachydactyly,210720,0001156,D059327,0060609
2733,Intellectual disability,210720,0001249,D008607,0060609
2734,Obesity,210720,0001513,D009765,0060609
2735,Glucose intolerance,210720,0001952,D018149,0060609
2736,Coxa vara,210720,0002812,D060905,0060609
2737,Hypospadias,617480,0000047,D007021,0111764
2738,Hypospadias,302905,0000047,D007021,0111826
2739,Cleft palate,302905,0000175,D002972,0111826
2740,Coloboma,302905,0000589,D003103,0111826
2741,Radioulnar synostosis,302905,0002974,C562408,0111826
2742,Hypospadias,614091,0000047,D007021,0110090
2743,Cleft palate,614091,0000175,D002972,0110090
2744,Edema,614091,0000969,D004487,0110090
2745,Brachydactyly,614091,0001156,D059327,0110090
2746,Syndactyly,614091,0001159,D013576,0110090
2747,Ascites,614091,0001541,D001201,0110090
2748,Hydrops fetalis,614091,0001789,D015160,0110090
2749,Polydactyly,614091,0010442,D017689,0110090
2750,Fused teeth,614091,0011090,D005671,0110090
2751,Hypospadias,242840,0000047,D007021,0060356
2752,Cleft palate,242840,0000175,D002972,0060356
2753,Microcephaly,242840,0000252,D008831,0060356
2754,Hypertelorism,242840,0000316,D006972,0060356
2755,Cleft lip,242840,0410030,D002971,0060356
2756,Cataract,242840,0000518,D002386,0060356
2757,Albinism,242840,0001022,D000417,0060356
2758,Agenesis of corpus callosum,242840,0001274,D061085,0060356
2759,Cerebellar hypoplasia,242840,0001321,C562568,0060356
2760,Failure to thrive,242840,0001508,D005183,0060356
2761,Lymphopenia,242840,0001888,D008231,0060356
2762,Acidosis,242840,0001941,D000138,0060356
2763,T lymphocytopenia,242840,0005403,C536783,0060356
2764,Schizencephaly,242840,0010636,D065707,0060356
2765,Hypospadias,615985,0000047,D007021,0110130
2766,Hypogonadism,615985,0000135,D007006,0110130
2767,Intellectual disability,615985,0001249,D008607,0110130
2768,Obesity,615985,0001513,D009765,0110130
2769,Dextrocardia,615985,0001651,D003914,0110130
2770,Polydactyly,615985,0010442,D017689,0110130
2771,Hypospadias,606744,0000047,D007021,0070013
2772,Microcephaly,606744,0000252,D008831,0070013
2773,Cerebellar hypoplasia,606744,0001321,C562568,0070013
2774,Hypospadias,180500,0000047,D007021,0110120
2775,Megalocornea,180500,0000485,C562829,0110120
2776,Strabismus,180500,0000486,D013285,0110120
2777,Glaucoma,180500,0000501,D005901,0110120
2778,Aniridia,180500,0000526,D015783,0110120
2779,Hypopituitarism,180500,0040075,D007018,0110120
2780,Hypospadias,605231,0000047,D007021,0110128
2781,Diabetes mellitus,605231,0000819,D003920,0110128
2782,Syndactyly,605231,0001159,D013576,0110128
2783,Intellectual disability,605231,0001249,D008607,0110128
2784,Obesity,605231,0001513,D009765,0110128
2785,Glucose intolerance,605231,0001952,D018149,0110128
2786,Polydactyly,605231,0010442,D017689,0110128
2787,Hypospadias,613762,0000047,D007021,0111769
2788,Gonadoblastoma,613762,0000150,D018238,0111769
2789,Hirsutism,613762,0001007,D006628,0111769
2790,Dysgerminoma,613762,0100621,D004407,0111769
2791,Germinoma,613762,0100620,D018237,0111769
2792,Hypospadias,220210,0000047,D007021,0060571
2793,Hydronephrosis,220210,0000126,D006869,0060571
2794,Cleft palate,220210,0000175,D002972,0060571
2795,Hydrocephalus,220210,0000238,D006849,0060571
2796,Hypertelorism,220210,0000316,D006972,0060571
2797,Coloboma,220210,0000589,D003103,0060571
2798,Syndactyly,220210,0001159,D013576,0060571
2799,Single umbilical artery,220210,0001195,D058529,0060571
2800,Cerebellar hypoplasia,220210,0001321,C562568,0060571
2801,Tetralogy of Fallot,220210,0001636,D013771,0060571
2802,Aortic valve stenosis,220210,0001650,D001024,0060571
2803,Double outlet right ventricle,220210,0001719,D004310,0060571
2804,Hypopituitarism,220210,0040075,D007018,0060571
2805,Hypospadias,612528,0000047,D007021,0111883
2806,Hypertelorism,612528,0000316,D006972,0111883
2807,Leukopenia,612528,0001882,D007970,0111883
2808,Anemia,612528,0001903,D000740,0111883
2809,Hypospadias,612965,0000047,D007021,0111772
2810,Gonadal dysgenesis,612965,0000133,D006059,0111772
2811,Hyperpituitarism,612965,0010514,D006964,0111772
2812,Hypospadias,129400,0000047,D007021,0060330
2813,Cleft palate,129400,0000175,D002972,0060330
2814,Cleft soft palate,129400,0000185,C562950,0060330
2815,Velopharyngeal insufficiency,129400,0000220,D014681,0060330
2816,Otitis media,129400,0000388,D010033,0060330
2817,Cleft lip,129400,0410030,D002971,0060330
2818,Hypohidrosis,129400,0000966,D007007,0060330
2819,Ectodermal dysplasia,129400,0000968,D004476,0060330
2820,Syndactyly,129400,0001159,D013576,0060330
2821,Alopecia,129400,0001596,D000505,0060330
2822,Hypospadias,236680,0000047,D007021,0111355
2823,Hydronephrosis,236680,0000126,D006869,0111355
2824,Cleft palate,236680,0000175,D002972,0111355
2825,Hydrocephalus,236680,0000238,D006849,0111355
2826,Cleft lip,236680,0410030,D002971,0111355
2827,Agenesis of corpus callosum,236680,0001274,D061085,0111355
2828,Cerebellar hypoplasia,236680,0001321,C562568,0111355
2829,Polyhydramnios,236680,0001561,D006831,0111355
2830,Talipes,236680,0001883,D000070558,0111355
2831,Anencephaly,236680,0002323,D000757,0111355
2832,Hernia,236680,0100790,D006547,0111355
2833,Tracheal stenosis,236680,0002777,D014135,0111355
2834,Stillbirth,236680,0003826,D050497,0111355
2835,Polydactyly,236680,0010442,D017689,0111355
2836,Bifid nose,236680,0011803,C535441,0111355
2837,Vesicoureteral reflux,614080,0000076,D014718,0080138
2838,Hydronephrosis,614080,0000126,D006869,0080138
2839,Cleft palate,614080,0000175,D002972,0080138
2840,Hypertelorism,614080,0000316,D006972,0080138
2841,Amblyopia,614080,0000646,D000550,0080138
2842,Intellectual disability,614080,0001249,D008607,0080138
2843,Tremor,614080,0001337,D014202,0080138
2844,Polyhydramnios,614080,0001561,D006831,0080138
2845,Gastroesophageal reflux,614080,0002020,D005764,0080138
2846,Chorea,614080,0002072,D002819,0080138
2847,Hernia,614080,0100790,D006547,0080138
2848,Vesicoureteral reflux,113650,0000076,D014718,0111423
2850,Cleft palate,113650,0000175,D002972,0111423
2852,Cleft soft palate,113650,0000185,C562950,0111423
2854,Goiter,113650,0000853,D006042,0111423
2856,Muscle weakness,113650,0001324,D018908,0111423
2858,Hip dislocation,113650,0002827,D006617,0111423
2860,Cholesteatoma,113650,0009797,D002781,0111423
2862,Euthyroid goiter,113650,0009798,C562732,0111423
2864,Vesicoureteral reflux,607323,0000076,D014718,0060747
2865,Hydronephrosis,607323,0000126,D006869,0060747
2866,Hypertelorism,607323,0000316,D006972,0060747
2867,Facial asymmetry,607323,0000324,D005146,0060747
2868,Choanal atresia,607323,0000453,D002754,0060747
2869,Strabismus,607323,0000486,D013285,0060747
2870,Cataract,607323,0000518,D002386,0060747
2871,Blepharophimosis,607323,0000581,D016569,0060747
2872,Coloboma,607323,0000589,D003103,0060747
2873,Syndactyly,607323,0001159,D013576,0060747
2874,Triphalangeal thumb,607323,0001199,C573898,0060747
2875,Muscle weakness,607323,0001324,D018908,0060747
2876,Scoliosis,607323,0002650,D012600,0060747
2877,Spina bifida occulta,607323,0003298,D016136,0060747
2878,Spinal dysraphism,607323,0010301,D016135,0060747
2879,Polydactyly,607323,0010442,D017689,0060747
2880,Vesicoureteral reflux,300868,0000076,D014718,0080139
2881,Gingival overgrowth,300868,0000212,D019214,0080139
2882,Microcephaly,300868,0000252,D008831,0080139
2883,Hypertelorism,300868,0000316,D006972,0080139
2884,Eczema,300868,0000964,D004485,0080139
2885,Edema,300868,0000969,D004487,0080139
2886,Cerebellar hypoplasia,300868,0001321,C562568,0080139
2887,Polyhydramnios,300868,0001561,D006831,0080139
2888,Hydrops fetalis,300868,0001789,D015160,0080139
2889,Gliosis,300868,0002171,D005911,0080139
2890,Hepatomegaly,300868,0002240,D006529,0080139
2891,Ichthyosis,300868,0008064,D007057,0080139
2892,Vesicoureteral reflux,612562,0000076,D014718,0111878
2893,Cleft palate,612562,0000175,D002972,0111878
2894,Otitis media,612562,0000388,D010033,0111878
2895,Choanal atresia,612562,0000453,D002754,0111878
2896,Osteoporosis,612562,0000939,D010024,0111878
2897,Triphalangeal thumb,612562,0001199,C573898,0111878
2898,Polyhydramnios,612562,0001561,D006831,0111878
2899,Tetralogy of Fallot,612562,0001636,D013771,0111878
2900,Neutropenia,612562,0001875,D009503,0111878
2901,Anemia,612562,0001903,D000740,0111878
2902,Esophagitis,612562,0100633,D004941,0111878
2903,Scoliosis,612562,0002650,D012600,0111878
2904,Fetal distress,612562,0025116,D005316,0111878
2905,Vesicoureteral reflux,606232,0000076,D014718,0080354
2906,Microcephaly,606232,0000252,D008831,0080354
2907,Hypertelorism,606232,0000316,D006972,0080354
2908,Strabismus,606232,0000486,D013285,0080354
2909,Hypohidrosis,606232,0000966,D007007,0080354
2910,Edema,606232,0000969,D004487,0080354
2911,Lymphedema,606232,0001004,D008209,0080354
2912,Syndactyly,606232,0001159,D013576,0080354
2913,Intellectual disability,606232,0001249,D008607,0080354
2914,Vomiting,606232,0002013,D014839,0080354
2915,Gastroesophageal reflux,606232,0002020,D005764,0080354
2916,Cellulitis,606232,0100658,D002481,0080354
2917,Bruxism,606232,0003763,D002012,0080354
2918,Vesicoureteral reflux,609053,0000076,D014718,0111091
2919,Microcephaly,609053,0000252,D008831,0111091
2920,Astigmatism,609053,0000483,D001251,0111091
2921,Myopia,609053,0000545,D009216,0111091
2922,Optic nerve hypoplasia,609053,0000609,D000080344,0111091
2923,Hypothyroidism,609053,0000821,D007037,0111091
2924,Pallor,609053,0000980,D010167,0111091
2925,Agenesis of corpus callosum,609053,0001274,D061085,0111091
2926,Neutropenia,609053,0001875,D009503,0111091
2927,Arnold-Chiari malformation,609053,0002308,D001139,0111091
2928,Chromosome breakage,609053,0040012,D019457,0111091
2929,Hypopituitarism,609053,0040075,D007018,0111091
2930,Colpocephaly,609053,0030048,C535973,0111091
2931,Renal insufficiency,615995,0000083,D051437,0110140
2932,Cataract,615995,0000518,D002386,0110140
2933,Brachydactyly,615995,0001156,D059327,0110140
2934,Obesity,615995,0001513,D009765,0110140
2935,Renal insufficiency,609049,0000083,D051437,0060852
2936,Proteinuria,609049,0000093,D011507,0060852
2937,Nephrotic syndrome,609049,0000100,D009404,0060852
2938,Blindness,609049,0000618,D001766,0060852
2939,Edema,609049,0000969,D004487,0060852
2940,Hypoproteinemia,609049,0003075,D007019,0060852
2941,Renal insufficiency,618594,0000083,D051437,0112267
2942,Nephrotic syndrome,618594,0000100,D009404,0112267
2943,Renal insufficiency,618178,0000083,D051437,0080394
2944,Proteinuria,618178,0000093,D011507,0080394
2945,Nephrotic syndrome,618178,0000100,D009404,0080394
2946,Renal insufficiency,301500,0000083,D051437,14499
2947,Proteinuria,301500,0000093,D011507,14499
2948,Hypertension,301500,0000822,D006973,14499
2949,Acute coronary syndrome,301500,0033678,D054058,14499
2950,Hypohidrosis,301500,0000966,D007007,14499
2951,Edema,301500,0000969,D004487,14499
2952,Lymphedema,301500,0001004,D008209,14499
2953,Angiokeratoma,301500,0001014,D000794,14499
2954,Stroke,301500,0001297,D020521,14499
2955,Myocardial infarction,301500,0001658,D009203,14499
2956,Angina pectoris,301500,0001681,D000787,14499
2957,Anemia,301500,0001903,D000740,14499
2958,Vomiting,301500,0002013,D014839,14499
2959,Diarrhea,301500,0002014,D003967,14499
2960,Nausea,301500,0002018,D009325,14499
2961,Abdominal pain,301500,0002027,D015746,14499
2962,Paresthesia,301500,0003401,D010292,14499
2963,Airway obstruction,301500,0006536,D000402,14499
2964,Pain,301500,0012531,D010146,14499
2965,Renal insufficiency,602088,0000083,D051437,0111113
2966,Hypertension,602088,0000822,D006973,0111113
2967,Oligohydramnios,602088,0001562,D016104,0111113
2968,Dextrocardia,602088,0001651,D003914,0111113
2969,Acidosis,602088,0001941,D000138,0111113
2970,Respiratory insufficiency,602088,0002093,D012131,0111113
2971,Hyperkalemia,602088,0002153,D006947,0111113
2972,Azotemia,602088,0002157,D053099,0111113
2973,Renal insufficiency,256370,0000083,D051437,0080383
2974,Nephrotic syndrome,256370,0000100,D009404,0080383
2975,Renal insufficiency,610965,0000083,D051437,0060590
2976,Proteinuria,610965,0000093,D011507,0060590
2977,Microcephaly,610965,0000252,D008831,0060590
2978,Optic atrophy,610965,0000648,D009896,0060590
2979,Hypertension,610965,0000822,D006973,0060590
2980,Intellectual disability,610965,0001249,D008607,0060590
2981,Ascites,610965,0001541,D001201,0060590
2982,Weight loss,610965,0001824,D015431,0060590
2983,Scoliosis,610965,0002650,D012600,0060590
2984,Cachexia,610965,0004326,D002100,0060590
2985,Renal insufficiency,137940,0000083,D051437,0111360
2986,Glomerulonephritis,137940,0000099,D005921,0111360
2987,Nephritis,137940,0000123,D009393,0111360
2988,Edema,137940,0000969,D004487,0111360
2989,Lymphedema,137940,0001004,D008209,0111360
2990,Alopecia,137940,0001596,D000505,0111360
2991,Lymphangiectasis,137940,0031842,D008200,0111360
2992,Renal insufficiency,615630,0000083,D051437,0110091
2993,Hydrocephalus,615630,0000238,D006849,0110091
2994,Retinal degeneration,615630,0000546,D012162,0110091
2995,Brachydactyly,615630,0001156,D059327,0110091
2996,Intellectual disability,615630,0001249,D008607,0110091
2997,Cerebellar hypoplasia,615630,0001321,C562568,0110091
2998,Cholestasis,615630,0001396,D002779,0110091
2999,Obesity,615630,0001513,D009765,0110091
3000,Splenomegaly,615630,0001744,D013163,0110091
3001,Glucose intolerance,615630,0001952,D018149,0110091
3002,Hepatomegaly,615630,0002240,D006529,0110091
3003,Genu valgum,615630,0002857,D056304,0110091
3004,Polydactyly,615630,0010442,D017689,0110091
3005,Renal insufficiency,617731,0000083,D051437,0080247
3006,Proteinuria,617731,0000093,D011507,0080247
3007,Nephrotic syndrome,617731,0000100,D009404,0080247
3008,Microcephaly,617731,0000252,D008831,0080247
3009,Hypertelorism,617731,0000316,D006972,0080247
3010,Edema,617731,0000969,D004487,0080247
3011,Ataxia,617731,0001251,D001259,0080247
3012,Lissencephaly,617731,0001339,D054082,0080247
3013,Renal insufficiency,251000,0000083,D051437,0060740
3014,Lethargy,251000,0001254,D053609,0060740
3015,Coma,251000,0001259,D003128,0060740
3016,Failure to thrive,251000,0001508,D005183,0060740
3017,Pancreatitis,251000,0001733,D010195,0060740
3018,Thrombocytopenia,251000,0001873,D013921,0060740
3019,Leukopenia,251000,0001882,D007970,0060740
3020,Acidosis,251000,0001941,D000138,0060740
3021,Dehydration,251000,0001944,D003681,0060740
3022,Ketosis,251000,0001946,D007662,0060740
3023,Hyperammonemia,251000,0001987,D022124,0060740
3024,Vomiting,251000,0002013,D014839,0060740
3025,Azotemia,251000,0002157,D053099,0060740
3026,Hepatomegaly,251000,0002240,D006529,0060740
3027,Methylmalonic acidemia,251000,0002912,C537358,0060740
3028,Renal insufficiency,617271,0000083,D051437,0111127
3029,Renal insufficiency,161200,0000083,D051437,9467
3030,Proteinuria,161200,0000093,D011507,9467
3031,Glomerulonephritis,161200,0000099,D005921,9467
3032,Nephrotic syndrome,161200,0000100,D009404,9467
3033,Nephritis,161200,0000123,D009393,9467
3034,Cleft palate,161200,0000175,D002972,9467
3035,Cleft lip,161200,0410030,D002971,9467
3036,Glaucoma,161200,0000501,D005901,9467
3037,Cataract,161200,0000518,D002386,9467
3038,Keratoconus,161200,0000563,D007640,9467
3039,Hematuria,161200,0000790,D006417,9467
3040,Pterygium,161200,0001059,D011625,9467
3041,Heterochromia iridis,161200,0001100,C538115,9467
3042,Talipes,161200,0001883,D000070558,9467
3043,Scoliosis,161200,0002650,D012600,9467
3044,Patellar dislocation,161200,0002999,D031222,9467
3045,Back pain,161200,0003418,D001416,9467
3046,Spinal dysraphism,161200,0010301,D016135,9467
3047,Pain,161200,0012531,D010146,9467
3048,Renal insufficiency,615986,0000083,D051437,0110131
3049,Astigmatism,615986,0000483,D001251,0110131
3050,Strabismus,615986,0000486,D013285,0110131
3051,Cataract,615986,0000518,D002386,0110131
3052,Retinal degeneration,615986,0000546,D012162,0110131
3053,Brachydactyly,615986,0001156,D059327,0110131
3054,Syndactyly,615986,0001159,D013576,0110131
3055,Intellectual disability,615986,0001249,D008607,0110131
3056,Obesity,615986,0001513,D009765,0110131
3057,Polydipsia,615986,0001959,D059606,0110131
3058,Hyperglycemia,615986,0003074,D006943,0110131
3059,Polydactyly,615986,0010442,D017689,0110131
3060,Renal insufficiency,218330,0000083,D051437,0080803
3061,Telecanthus,218330,0000506,C562941,0080803
3062,Myopia,218330,0000545,D009216,0080803
3063,Anodontia,218330,0000674,D000848,0080803
3064,Osteoporosis,218330,0000939,D010024,0080803
3065,Ectodermal dysplasia,218330,0000968,D004476,0080803
3066,Brachydactyly,218330,0001156,D059327,0080803
3067,Hepatomegaly,218330,0002240,D006529,0080803
3068,Hypocalcemia,218330,0002901,D006996,0080803
3069,Renal insufficiency,610188,0000083,D051437,0111000
3070,Coloboma,610188,0000589,D003103,0111000
3071,Blindness,610188,0000618,D001766,0111000
3072,Intellectual disability,610188,0001249,D008607,0111000
3073,Ataxia,610188,0001251,D001259,0111000
3074,Apnea,610188,0002104,D001049,0111000
3075,Agenesis of cerebellar vermis,610188,0002335,C536293,0111000
3076,Tachypnea,610188,0002789,D059246,0111000
3077,Renal insufficiency,615382,0000083,D051437,0111124
3078,Cholestasis,615382,0001396,D002779,0111124
3079,Aortic valve stenosis,615382,0001650,D001024,0111124
3080,Dextrocardia,615382,0001651,D003914,0111124
3081,Renal insufficiency,203300,0000083,D051437,0060539
3082,Epistaxis,203300,0000421,D004844,0060539
3083,Blindness,203300,0000618,D001766,0060539
3084,Albinism,203300,0001022,D000417,0060539
3085,Diarrhea,203300,0002014,D003967,0060539
3086,Abdominal pain,203300,0002027,D015746,0060539
3087,Pulmonary fibrosis,203300,0002206,D011658,0060539
3088,Gastrointestinal hemorrhage,203300,0002239,D006471,0060539
3089,Colitis,203300,0002583,D003092,0060539
3090,Nevus,203300,0003764,D009506,0060539
3091,Pain,203300,0012531,D010146,0060539
3092,Renal insufficiency,610984,0000083,D051437,0050419
3093,Glomerulonephritis,610984,0000099,D005921,0050419
3094,Nephritis,610984,0000123,D009393,0050419
3095,Sinusitis,610984,0000246,D012852,0050419
3096,Otitis media,610984,0000388,D010033,0050419
3097,Arthritis,610984,0001369,D001168,0050419
3098,Vasculitis,610984,0002633,D014657,0050419
3099,Pyelonephritis,610984,0012330,D011704,0050419
3100,Renal insufficiency,191900,0000083,D051437,0050854
3101,Conjunctivitis,191900,0000509,D003231,0050854
3102,Fever,191900,0001945,D005334,0050854
3103,Leukocytosis,191900,0001974,D007964,0050854
3104,Arthralgia,191900,0002829,D018771,0050854
3105,Myalgia,191900,0003326,D063806,0050854
3106,Stomatitis,191900,0010280,D013280,0050854
3107,Amyloidosis,191900,0011034,D000686,0050854
3108,Fatigue,191900,0012378,D005221,0050854
3109,Pain,191900,0012531,D010146,0050854
3110,Renal insufficiency,300661,0000083,D051437,0111260
3111,Nephrolithiasis,300661,0000787,D053040,0111260
3112,Intellectual disability,300661,0001249,D008607,0111260
3113,Ataxia,300661,0001251,D001259,0111260
3114,Arthritis,300661,0001369,D001168,0111260
3115,Gout,300661,0001997,D006073,0111260
3116,Hyperuricemia,300661,0002149,D033461,0111260
3117,Azotemia,300661,0002157,D053099,0111260
3118,Renal insufficiency,615573,0000083,D051437,0080391
3119,Proteinuria,615573,0000093,D011507,0080391
3120,Nephrotic syndrome,615573,0000100,D009404,0080391
3121,Edema,615573,0000969,D004487,0080391
3122,Hypoalbuminemia,615573,0003073,D034141,0080391
3123,Renal insufficiency,618177,0000083,D051437,0080393
3124,Proteinuria,618177,0000093,D011507,0080393
3125,Nephrotic syndrome,618177,0000100,D009404,0080393
3126,Renal insufficiency,218040,0000083,D051437,0050469
3127,Macroglossia,218040,0000158,D008260,0050469
3128,Hydrocephalus,218040,0000238,D006849,0050469
3129,Hypertelorism,218040,0000316,D006972,0050469
3130,Strabismus,218040,0000486,D013285,0050469
3131,Pectus carinatum,218040,0000768,D066166,0050469
3132,Acanthosis nigricans,218040,0000956,D000052,0050469
3133,Cutis laxa,218040,0000973,D003483,0050469
3134,Intellectual disability,218040,0001249,D008607,0050469
3135,Failure to thrive,218040,0001508,D005183,0050469
3136,Polyhydramnios,218040,0001561,D006831,0050469
3137,Premature birth,218040,0001622,D047928,0050469
3138,Mitral valve prolapse,218040,0001634,D008945,0050469
3139,Talipes,218040,0001883,D000070558,0050469
3140,Sarcoma,218040,0100242,D012509,0050469
3141,Hypoglycemia,218040,0001943,D007003,0050469
3142,Pyloric stenosis,218040,0002021,D011707,0050469
3143,Respiratory insufficiency,218040,0002093,D012131,0050469
3144,Apnea,218040,0002104,D001049,0050469
3145,Pneumothorax,218040,0002107,D011030,0050469
3146,Arnold-Chiari malformation,218040,0002308,D001139,0050469
3147,Tracheomalacia,218040,0002779,D055090,0050469
3148,Bronchomalacia,218040,0002780,D055091,0050469
3149,Rhabdomyosarcoma,218040,0002859,D012208,0050469
3150,Nevus,218040,0003764,D009506,0050469
3151,Lymphangiectasis,218040,0031842,D008200,0050469
3152,Renal insufficiency,615993,0000083,D051437,0110138
3153,Hypogonadism,615993,0000135,D007006,0110138
3154,Otitis media,615993,0000388,D010033,0110138
3155,Retinal degeneration,615993,0000546,D012162,0110138
3156,Intellectual disability,615993,0001249,D008607,0110138
3157,Obesity,615993,0001513,D009765,0110138
3158,Dyspnea,615993,0002094,D004417,0110138
3159,Bronchiolitis,615993,0011950,D001988,0110138
3160,Renal insufficiency,612285,0000083,D051437,0111004
3161,Astigmatism,612285,0000483,D001251,0111004
3162,Cataract,612285,0000518,D002386,0111004
3163,Intellectual disability,612285,0001249,D008607,0111004
3164,Encephalocele,612285,0002084,D004677,0111004
3165,Apnea,612285,0002104,D001049,0111004
3166,Scoliosis,612285,0002650,D012600,0111004
3167,Tachypnea,612285,0002789,D059246,0111004
3168,Renal insufficiency,613159,0000083,D051437,0111117
3169,Hypertension,613159,0000822,D006973,0111117
3170,Intellectual disability,613159,0001249,D008607,0111117
3171,Tremor,613159,0001337,D014202,0111117
3172,Pancreatitis,613159,0001733,D010195,0111117
3173,Renal insufficiency,614922,0000083,D051437,0111481
3174,Lethargy,614922,0001254,D053609,0111481
3175,Myoclonus,614922,0001336,D009207,0111481
3176,Lissencephaly,614922,0001339,D054082,0111481
3177,Acidosis,614922,0001941,D000138,0111481
3178,Hepatomegaly,614922,0002240,D006529,0111481
3179,Renal insufficiency,604387,0000083,D051437,0111114
3180,Polyuria,604387,0000103,D011141,0111114
3181,Enuresis,604387,0000805,D004775,0111114
3182,Polydipsia,604387,0001959,D059606,0111114
3183,Renal insufficiency,251290,0000083,D051437,0050656
3184,Microcephaly,251290,0000252,D008831,0050656
3185,Retrognathia,251290,0000278,D063173,0050656
3186,Cataract,251290,0000518,D002386,0050656
3187,Jaundice,251290,0000952,D007565,0050656
3188,Purpura,251290,0000979,D011693,0050656
3189,Intellectual disability,251290,0001249,D008607,0050656
3190,Cerebellar hypoplasia,251290,0001321,C562568,0050656
3191,Lissencephaly,251290,0001339,D054082,0050656
3192,Cholestasis,251290,0001396,D002779,0050656
3193,Failure to thrive,251290,0001508,D005183,0050656
3194,Splenomegaly,251290,0001744,D013163,0050656
3195,Thrombocytopenia,251290,0001873,D013921,0050656
3196,Polymicrogyria,251290,0002126,D065706,0050656
3197,Hepatomegaly,251290,0002240,D006529,0050656
3198,Corneal opacity,251290,0007957,D003318,0050656
3199,Renal insufficiency,616893,0000083,D051437,0080381
3200,Nephrotic syndrome,616893,0000100,D009404,0080381
3201,Renal insufficiency,611498,0000083,D051437,0111116
3202,Renal insufficiency,251300,0000083,D051437,0060364
3203,Proteinuria,251300,0000093,D011507,0060364
3204,Nephrotic syndrome,251300,0000100,D009404,0060364
3205,Microcephaly,251300,0000252,D008831,0060364
3206,Hypertelorism,251300,0000316,D006972,0060364
3207,Strabismus,251300,0000486,D013285,0060364
3208,Cataract,251300,0000518,D002386,0060364
3209,Optic atrophy,251300,0000648,D009896,0060364
3210,Intellectual disability,251300,0001249,D008607,0060364
3211,Ataxia,251300,0001251,D001259,0060364
3212,Cerebellar hypoplasia,251300,0001321,C562568,0060364
3213,Dystonia,251300,0001332,D004421,0060364
3214,Lissencephaly,251300,0001339,D054082,0060364
3215,Oligohydramnios,251300,0001562,D016104,0060364
3216,Talipes,251300,0001883,D000070558,0060364
3217,Hernia,251300,0100790,D006547,0060364
3218,Hypoalbuminemia,251300,0003073,D034141,0060364
3219,Corneal opacity,251300,0007957,D003318,0060364
3220,Renal insufficiency,617729,0000083,D051437,0080245
3221,Proteinuria,617729,0000093,D011507,0080245
3222,Nephrotic syndrome,617729,0000100,D009404,0080245
3223,Microcephaly,617729,0000252,D008831,0080245
3224,Hypertelorism,617729,0000316,D006972,0080245
3225,Strabismus,617729,0000486,D013285,0080245
3226,Hypertension,617729,0000822,D006973,0080245
3227,Edema,617729,0000969,D004487,0080245
3228,Arachnodactyly,617729,0001166,D054119,0080245
3229,Intellectual disability,617729,0001249,D008607,0080245
3230,Lissencephaly,617729,0001339,D054082,0080245
3231,Failure to thrive,617729,0001508,D005183,0080245
3232,Oligohydramnios,617729,0001562,D016104,0080245
3233,Hernia,617729,0100790,D006547,0080245
