,HPO_LABEL,ORPHA,HPO,DOID_MAP,EDGES_TO_DOID
4763,Strabismus,2053,0000486,540,0111604
4765,Ptosis,2053,0000508,0060260,0111604
4767,Polyhydramnios,2053,0001561,8488,0111604
4769,Oligohydramnios,2053,0001562,12215,0111604
4771,Malignant hyperthermia,2053,0002047,8545,0111604
4773,Scoliosis,2053,0002650,0060249,0111604
4775,Cryptorchidism,2044,0000028,11383,0111358
4776,Hypospadias,2044,0000047,10892,0111358
4777,Renal agenesis,2044,0000104,14766,0111358
4778,Nephrocalcinosis,2044,0000121,12679,0111358
4779,Hydronephrosis,2044,0000126,11111,0111358
4780,Strabismus,2044,0000486,540,0111358
4781,Urethral obstruction,2044,0000796,12577,0111358
4782,Brachydactyly,2044,0001156,0050581,0111358
4783,Intellectual disability,2044,0001249,1059,0111358
4784,Tetralogy of Fallot,2044,0001636,6419,0111358
4785,Constipation,2044,0002019,2089,0111358
4786,Apraxia,2044,0002186,0060135,0111358
4787,Celiac disease,2044,0002608,10608,0111358
4788,Scoliosis,2044,0002650,0060249,0111358
4789,Attention deficit hyperactivity disorder,2044,0007018,1094,0111358
4790,Tooth agenesis,2044,0009804,0050591,0111358
4791,Chronic kidney disease,2044,0012622,784,0111358
4792,Varicocele,2044,0012871,12337,0111358
4793,Cryptorchidism,1263,0000028,11383,0050680
4794,Syndactyly,1263,0001159,11193,0050680
4795,Omphalocele,1263,0001539,0060327,0050680
4796,Polyhydramnios,1263,0001561,8488,0050680
4797,Hypopituitarism,1263,0040075,9406,0050680
4798,Cryptorchidism,950,0000028,11383,14669
4800,Hypogonadism,950,0000135,1924,14669
4802,Brachydactyly,950,0001156,0050581,14669
4804,Intellectual disability,950,0001249,1059,14669
4806,Cryptorchidism,138,0000028,11383,0050834
4808,Hypogonadotropic hypogonadism,138,0000044,0090070,0050834
4810,Vesicoureteral reflux,138,0000076,9620,0050834
4812,Hydronephrosis,138,0000126,11111,0050834
4814,Hypogonadism,138,0000135,1924,0050834
4816,Cleft palate,138,0000175,674,0050834
4818,Microcephaly,138,0000252,10907,0050834
4820,Cleft lip,138,0410030,9296,0050834
4822,Choanal atresia,138,0000453,9574,0050834
4824,Strabismus,138,0000486,540,0050834
4826,Ptosis,138,0000508,0060260,0050834
4828,Microphthalmia,138,0000568,10629,0050834
4830,Coloboma,138,0000589,12270,0050834
4832,Optic atrophy,138,0000648,5723,0050834
4834,Brachydactyly,138,0001156,0050581,0050834
4836,Intellectual disability,138,0001249,1059,0050834
4838,Cerebellar hypoplasia,138,0001321,0070338,0050834
4840,Holoprosencephaly,138,0001360,4621,0050834
4842,Polyhydramnios,138,0001561,8488,0050834
4844,Laryngomalacia,138,0001601,0080833,0050834
4846,Tetralogy of Fallot,138,0001636,6419,0050834
4848,Patent ductus arteriosus,138,0001643,13832,0050834
4850,Scoliosis,138,0002650,0060249,0050834
4852,Aortic aneurysm,138,0004942,3627,0050834
4854,Attention deficit hyperactivity disorder,138,0007018,1094,0050834
4856,Hypopituitarism,138,0040075,9406,0050834
4858,Thoracic aortic aneurysm,138,0012727,14004,0050834
4860,Cryptorchidism,818,0000028,11383,14692
4861,Hypospadias,818,0000047,10892,14692
4862,Ureteropelvic junction obstruction,818,0000074,0111145,14692
4863,Hydronephrosis,818,0000126,11111,14692
4864,Cleft palate,818,0000175,674,14692
4865,Gingival overgrowth,818,0000212,3086,14692
4866,Microcephaly,818,0000252,10907,14692
4867,Choanal atresia,818,0000453,9574,14692
4868,Strabismus,818,0000486,540,14692
4869,Glaucoma,818,0000501,1686,14692
4870,Ptosis,818,0000508,0060260,14692
4871,Cataract,818,0000518,83,14692
4872,Coloboma,818,0000589,12270,14692
4873,Sclerocornea,818,0000647,0060252,14692
4874,Optic atrophy,818,0000648,5723,14692
4875,Congenital diaphragmatic hernia,818,0000776,3827,14692
4876,Hemangioma,818,0001028,255,14692
4877,Brachydactyly,818,0001156,0050581,14692
4878,Syndactyly,818,0001159,11193,14692
4879,Intellectual disability,818,0001249,1059,14692
4880,Holoprosencephaly,818,0001360,4621,14692
4881,Gastroschisis,818,0001543,11044,14692
4882,Polyhydramnios,818,0001561,8488,14692
4883,Ventricular septal defect,818,0001629,1657,14692
4884,Patent ductus arteriosus,818,0001643,13832,14692
4885,Pyloric stenosis,818,0002021,12639,14692
4886,Scoliosis,818,0002650,0060249,14692
4887,Tracheal stenosis,818,0002777,3227,14692
4888,Capillary hemangioma,818,0005306,2725,14692
4889,Ureteral obstruction,818,0006000,5199,14692
4890,Attention deficit hyperactivity disorder,818,0007018,1094,14692
4891,Tooth agenesis,818,0009804,0050591,14692
4892,Polydactyly,818,0010442,1148,14692
4893,Cryptorchidism,3138,0000028,11383,0060614
4894,Renal hypoplasia,3138,0000089,0080204,0060614
4895,Obesity,3138,0001513,9970,0060614
4896,Laryngomalacia,3138,0001601,0080833,0060614
4897,Ventricular septal defect,3138,0001629,1657,0060614
4898,Pyloric stenosis,3138,0002021,12639,0060614
4899,Tooth agenesis,3138,0009804,0050591,0060614
4900,Polydactyly,3138,0010442,1148,0060614
4901,Cryptorchidism,503,0000028,11383,14764
4902,Cleft palate,503,0000175,674,14764
4903,Brachydactyly,503,0001156,0050581,14764
4904,Syndactyly,503,0001159,11193,14764
4905,Intellectual disability,503,0001249,1059,14764
4906,Craniosynostosis,503,0001363,2340,14764
4907,Scoliosis,503,0002650,0060249,14764
4908,Tracheomalacia,503,0002779,0060313,14764
4909,Cryptorchidism,3047,0000028,11383,0060290
4910,Cleft palate,3047,0000175,674,0060290
4911,Cleft soft palate,3047,0000185,0110214,0060290
4912,Microcephaly,3047,0000252,10907,0060290
4913,Blepharophimosis,3047,0000581,10348,0060290
4914,Hypothyroidism,3047,0000821,1459,0060290
4915,Intellectual disability,3047,0001249,1059,0060290
4916,Polyhydramnios,3047,0001561,8488,0060290
4917,Ventricular septal defect,3047,0001629,1657,0060290
4918,Patent ductus arteriosus,3047,0001643,13832,0060290
4919,Cryptorchidism,2377,0000028,11383,1930
4920,Strabismus,2377,0000486,540,1930
4921,Cataract,2377,0000518,83,1930
4922,Coloboma,2377,0000589,12270,1930
4923,Diabetes mellitus,2377,0000819,9351,1930
4924,Brachydactyly,2377,0001156,0050581,1930
4925,Syndactyly,2377,0001159,11193,1930
4926,Intellectual disability,2377,0001249,1059,1930
4927,Obesity,2377,0001513,9970,1930
4928,Glucose intolerance,2377,0001952,10603,1930
4929,Polydactyly,2377,0010442,1148,1930
4930,Cryptorchidism,85282,0000028,11383,0060801
4931,Microcephaly,85282,0000252,10907,0060801
4932,Diabetes mellitus,85282,0000819,9351,0060801
4933,Intellectual disability,85282,0001249,1059,0060801
4934,Obesity,85282,0001513,9970,0060801
4935,Glucose intolerance,85282,0001952,10603,0060801
4936,Cryptorchidism,1308,0000028,11383,0111581
4937,Cleft palate,1308,0000175,674,0111581
4938,Gingival overgrowth,1308,0000212,3086,0111581
4939,Microcephaly,1308,0000252,10907,0111581
4940,Strabismus,1308,0000486,540,0111581
4941,Congenital diaphragmatic hernia,1308,0000776,3827,0111581
4942,Cutis laxa,1308,0000973,3144,0111581
4943,Hemangioma,1308,0001028,255,0111581
4944,Syndactyly,1308,0001159,11193,0111581
4945,Intellectual disability,1308,0001249,1059,0111581
4946,Omphalocele,1308,0001539,0060327,0111581
4947,Polyhydramnios,1308,0001561,8488,0111581
4948,Constipation,1308,0002019,2089,0111581
4949,Capillary hemangioma,1308,0005306,2725,0111581
4950,Polydactyly,1308,0010442,1148,0111581
4951,Cryptorchidism,168572,0000028,11383,0060346
4952,Cleft palate,168572,0000175,674,0060346
4953,Cleft soft palate,168572,0000185,0110214,0060346
4954,Ptosis,168572,0000508,0060260,0060346
4955,Hemangioma,168572,0001028,255,0060346
4956,Intellectual disability,168572,0001249,1059,0060346
4957,Malignant hyperthermia,168572,0002047,8545,0060346
4958,Scoliosis,168572,0002650,0060249,0060346
4959,Arthrogryposis multiplex congenita,168572,0002804,0080954,0060346
4960,Cryptorchidism,401973,0000028,11383,0111865
4961,Cleft palate,401973,0000175,674,0111865
4962,Hydrocephalus,401973,0000238,10908,0111865
4963,Cataract,401973,0000518,83,0111865
4964,Microphthalmia,401973,0000568,10629,0111865
4965,Syndactyly,401973,0001159,11193,0111865
4966,Intellectual disability,401973,0001249,1059,0111865
4967,Cerebellar hypoplasia,401973,0001321,0070338,0111865
4968,Aortic valve stenosis,401973,0001650,1712,0111865
4969,Ichthyosis,401973,0008064,1697,0111865
4970,Polydactyly,401973,0010442,1148,0111865
4971,Cryptorchidism,847,0000028,11383,0110030
4972,Hydronephrosis,847,0000126,11111,0110030
4973,Microcephaly,847,0000252,10907,0110030
4974,Myopia,847,0000545,11830,0110030
4975,Blindness,847,0000618,1432,0110030
4976,Optic atrophy,847,0000648,5723,0110030
4977,Brachydactyly,847,0001156,0050581,0110030
4978,Intellectual disability,847,0001249,1059,0110030
4979,Anemia,847,0001903,2355,0110030
4980,Constipation,847,0002019,2089,0110030
4981,Aphasia,847,0002381,0060046,0110030
4982,Encephalitis,847,0002383,9588,0110030
4983,Paraplegia,847,0010550,607,0110030
4984,Cryptorchidism,2378,0000028,11383,0111350
4985,Hydrocephalus,2378,0000238,10908,0111350
4986,Syndactyly,2378,0001159,11193,0111350
4987,Intellectual disability,2378,0001249,1059,0111350
4988,Polydactyly,2378,0010442,1148,0111350
4989,Cryptorchidism,3071,0000028,11383,0050469
4990,Strabismus,3071,0000486,540,0050469
4991,Keratoconus,3071,0000563,10126,0050469
4992,Acanthosis nigricans,3071,0000956,3138,0050469
4993,Cutis laxa,3071,0000973,3144,0050469
4994,Intellectual disability,3071,0001249,1059,0050469
4995,Polyhydramnios,3071,0001561,8488,0050469
4996,Ventricular septal defect,3071,0001629,1657,0050469
4997,Mitral valve prolapse,3071,0001634,988,0050469
4998,Cardiomyopathy,3071,0001638,0050700,0050469
4999,Hypertrophic cardiomyopathy,3071,0001639,11984,0050469
5000,Papilloma,3071,0012740,2615,0050469
5001,Cryptorchidism,284339,0000028,11383,0060276
5002,Gonadal dysgenesis,284339,0000133,14447,0060276
5003,Microcephaly,284339,0000252,10907,0060276
5004,Optic atrophy,284339,0000648,5723,0060276
5005,Intellectual disability,284339,0001249,1059,0060276
5006,Cerebellar hypoplasia,284339,0001321,0070338,0060276
5007,Cryptorchidism,921,0000028,11383,0111826
5008,Hypospadias,921,0000047,10892,0111826
5009,Cleft palate,921,0000175,674,0111826
5010,Coloboma,921,0000589,12270,0111826
5011,Brachydactyly,921,0001156,0050581,0111826
5012,Syndactyly,921,0001159,11193,0111826
5013,Radioulnar synostosis,921,0002974,9827,0111826
5014,Cryptorchidism,1106,0000028,11383,0060861
5015,Cleft palate,1106,0000175,674,0060861
5016,Hydrocephalus,1106,0000238,10908,0060861
5017,Cleft lip,1106,0410030,9296,0060861
5018,Microphthalmia,1106,0000568,10629,0060861
5019,Blepharophimosis,1106,0000581,10348,0060861
5020,Optic atrophy,1106,0000648,5723,0060861
5021,Syndactyly,1106,0001159,11193,0060861
5022,Intellectual disability,1106,0001249,1059,0060861
5023,Anencephaly,1106,0002323,0060668,0060861
5024,Venous insufficiency,1106,0005293,10128,0060861
5025,Polydactyly,1106,0010442,1148,0060861
5026,Hypogonadotropic hypogonadism,54595,0000044,0090070,3840
5028,Hypogonadism,54595,0000135,1924,3840
5030,Hydrocephalus,54595,0000238,10908,3840
5032,Optic atrophy,54595,0000648,5723,3840
5034,Diabetes mellitus,54595,0000819,9351,3840
5036,Hypothyroidism,54595,0000821,1459,3840
5038,Diabetes insipidus,54595,0000873,9409,3840
5040,Papilledema,54595,0001085,146,3840
5042,Intellectual disability,54595,0001249,1059,3840
5044,Obesity,54595,0001513,9970,3840
5046,Myocardial infarction,54595,0001658,5844,3840
5048,Glucose intolerance,54595,0001952,10603,3840
5050,Hypopituitarism,54595,0040075,9406,3840
5052,Hyperpituitarism,54595,0010514,2444,3840
5054,Sleep apnea,54595,0010535,0050847,3840
5056,Hypogonadotropic hypogonadism,963,0000044,0090070,2449
5058,Hypogonadism,963,0000135,1924,2449
5060,Impotence,963,0000802,1875,2449
5062,Diabetes mellitus,963,0000819,9351,2449
5064,Hypertension,963,0000822,10763,2449
5066,Acanthosis nigricans,963,0000956,3138,2449
5068,Hypertrichosis,963,0000998,420,2449
5070,Acne,963,0001061,6543,2449
5072,Arthritis,963,0001369,848,2449
5074,Cardiomyopathy,963,0001638,0050700,2449
5076,Hypertrophic cardiomyopathy,963,0001639,11984,2449
5078,Cerebral palsy,963,0100021,1969,2449
5080,Glucose intolerance,963,0001952,10603,2449
5082,Migraine,963,0002076,6364,2449
5084,Osteoarthritis,963,0002758,8398,2449
5086,Pituitary adenoma,963,0002893,3829,2449
5088,Hypopituitarism,963,0040075,9406,2449
5090,Hyperpituitarism,963,0010514,2444,2449
5092,Sleep apnea,963,0010535,0050847,2449
5094,Hypogonadotropic hypogonadism,2965,0000044,0090070,5394
5097,Hypogonadism,2965,0000135,1924,5394
5100,Amenorrhea,2965,0000141,13938,5394
5103,Ptosis,2965,0000508,0060260,5394
5106,Ophthalmoplegia,2965,0000602,539,5394
5109,Blindness,2965,0000618,1432,5394
5112,Gynecomastia,2965,0000771,12698,5394
5115,Impotence,2965,0000802,1875,5394
5118,Hypothyroidism,2965,0000821,1459,5394
5121,Osteoporosis,2965,0000939,11476,5394
5124,Fourth cranial nerve palsy,2965,0007011,10869,5394
5127,Hypopituitarism,2965,0040075,9406,5394
5130,Hyperpituitarism,2965,0010514,2444,5394
5133,Adrenocorticotropic hormone deficiency,2965,0011748,0080150,5394
5136,Hypogonadotropic hypogonadism,2495,0000044,0090070,3565
5148,Hypogonadism,2495,0000135,1924,3565
5160,Amenorrhea,2495,0000141,13938,3565
5172,Hydrocephalus,2495,0000238,10908,3565
5184,Ophthalmoplegia,2495,0000602,539,3565
5196,Blindness,2495,0000618,1432,3565
5208,Impotence,2495,0000802,1875,3565
5220,Hypothyroidism,2495,0000821,1459,3565
5232,Papilledema,2495,0001085,146,3565
5244,Obesity,2495,0001513,9970,3565
5256,Intracranial meningioma,2495,0100009,0080842,3565
5268,Spinal meningioma,2495,0100010,1138,3565
5280,Sarcoma,2495,0100242,1115,3565
5292,Trigeminal neuralgia,2495,0100661,12098,3565
5304,Meningioma,2495,0002858,3565,3565
5316,Hypopituitarism,2495,0040075,9406,3565
5328,Hyperpituitarism,2495,0010514,2444,3565
5340,Transient global amnesia,2495,0010534,13027,3565
5352,Fibroma,2495,0010614,0050871,3565
5364,Hypospadias,90652,0000047,10892,0111784
5365,Hydronephrosis,90652,0000126,11111,0111784
5366,Cleft palate,90652,0000175,674,0111784
5367,Hydrocephalus,90652,0000238,10908,0111784
5368,Glaucoma,90652,0000501,1686,0111784
5369,Cataract,90652,0000518,83,0111784
5370,Anodontia,90652,0000674,13714,0111784
5371,Intellectual disability,90652,0001249,1059,0111784
5372,Cerebellar hypoplasia,90652,0001321,0070338,0111784
5373,Omphalocele,90652,0001539,0060327,0111784
5374,Spina bifida,90652,0002414,0080016,0111784
5375,Meningocele,90652,0002435,1088,0111784
5376,Myelomeningocele,90652,0002475,0060326,0111784
5377,Scoliosis,90652,0002650,0060249,0111784
5378,Ureteral obstruction,90652,0006000,5199,0111784
5379,Tooth agenesis,90652,0009804,0050591,0111784
5380,Polydactyly,90652,0010442,1148,0111784
5381,Neural tube defect,90652,0045005,0080074,0111784
5382,Hypospadias,1358,0000047,10892,0080194
5383,Hydronephrosis,1358,0000126,11111,0080194
5384,Cleft palate,1358,0000175,674,0080194
5385,Microcephaly,1358,0000252,10907,0080194
5386,Ptosis,1358,0000508,0060260,0080194
5387,Hypertension,1358,0000822,10763,0080194
5388,Brachydactyly,1358,0001156,0050581,0080194
5389,Intellectual disability,1358,0001249,1059,0080194
5390,Scoliosis,1358,0002650,0060249,0080194
5391,Myopathy,1358,0003198,423,0080194
5392,Hypospadias,782,0000047,10892,14686
5395,Glaucoma,782,0000501,1686,14686
5398,Cutis laxa,782,0000973,3144,14686
5401,Tooth agenesis,782,0009804,0050591,14686
5404,Hypospadias,1896,0000047,10892,0060782
5405,Vesicoureteral reflux,1896,0000076,9620,0060782
5406,Hydronephrosis,1896,0000126,11111,0060782
5407,Cleft palate,1896,0000175,674,0060782
5408,Choanal atresia,1896,0000453,9574,0060782
5409,Keratitis,1896,0000491,4677,0060782
5410,Blepharitis,1896,0000498,9423,0060782
5411,Entropion,1896,0000621,12397,0060782
5412,Hypohidrosis,1896,0000966,11155,0060782
5413,Syndactyly,1896,0001159,11193,0060782
5414,Intellectual disability,1896,0001249,1059,0060782
5415,Lymphoma,1896,0002665,0060058,0060782
5416,Hypopituitarism,1896,0040075,9406,0060782
5417,Tooth agenesis,1896,0009804,0050591,0060782
5418,Hypospadias,2616,0000047,10892,0060241
5421,Scoliosis,2616,0002650,0060249,0060241
5424,Hypospadias,2438,0000047,10892,0060739
5425,Ureteropelvic junction obstruction,2438,0000074,0111145,0060739
5426,Vesicoureteral reflux,2438,0000076,9620,0060739
5427,Strabismus,2438,0000486,540,0060739
5428,Ventricular septal defect,2438,0001629,1657,0060739
5429,Ureteral obstruction,2438,0006000,5199,0060739
5430,Polydactyly,2438,0010442,1148,0060739
5431,Hypospadias,1552,0000047,10892,0111546
5432,Vesicoureteral reflux,1552,0000076,9620,0111546
5433,Arteriovenous malformation,1552,0100026,11294,0111546
5434,Teratoma,1552,0009792,3307,0111546
5435,Hypospadias,2315,0000047,10892,14694
5436,Hydronephrosis,2315,0000126,11111,14694
5437,Microcephaly,2315,0000252,10907,14694
5438,Diabetes mellitus,2315,0000819,9351,14694
5439,Intellectual disability,2315,0001249,1059,14694
5440,Alopecia,2315,0001596,987,14694
5441,Dextrocardia,2315,0001651,9565,14694
5442,Exocrine pancreatic insufficiency,2315,0001738,13316,14694
5443,Anemia,2315,0001903,2355,14694
5444,Glucose intolerance,2315,0001952,10603,14694
5445,Tooth agenesis,2315,0009804,0050591,14694
5446,Ureterocele,1934,0000070,4022,0050709
5462,Cleft palate,1934,0000175,674,0050709
5478,Microcephaly,1934,0000252,10907,0050709
5494,Strabismus,1934,0000486,540,0050709
5510,Intellectual disability,1934,0001249,1059,0050709
5526,Dystonia,1934,0001332,543,0050709
5542,Lissencephaly,1934,0001339,0050453,0050709
5558,Umbilical hernia,1934,0001537,0060321,0050709
5574,Ventricular septal defect,1934,0001629,1657,0050709
5590,Episodic ataxia,1934,0002131,963,0050709
5606,Ureterocele,79403,0000070,4022,0060733
5608,Hydronephrosis,79403,0000126,11111,0060733
5610,Ectropion,79403,0000656,1570,0060733
5612,Urethral obstruction,79403,0000796,12577,0060733
5614,Pterygium,79403,0001059,0002116,0060733
5616,Polyhydramnios,79403,0001561,8488,0060733
5618,Intestinal atresia,79403,0011100,10486,0060733
5620,Urethral stricture,79403,0012227,1829,0060733
5622,Vesicoureteral reflux,140952,0000076,9620,0111931
5623,Renal agenesis,140952,0000104,14766,0111931
5624,Myopia,140952,0000545,11830,0111931
5625,Syndactyly,140952,0001159,11193,0111931
5626,Syringomyelia,140952,0003396,327,0111931
5627,Vesicoureteral reflux,2484,0000076,9620,0111788
5628,Hydronephrosis,2484,0000126,11111,0111788
5629,Omphalocele,2484,0001539,0060327,0111788
5630,Hyperostosis,2484,0100774,205,0111788
5631,Scoliosis,2484,0002650,0060249,0111788
5632,Vesicoureteral reflux,1475,0000076,9620,0090006
5633,Renal hypoplasia,1475,0000089,0080204,0090006
5634,Strabismus,1475,0000486,540,0090006
5635,Myopia,1475,0000545,11830,0090006
5636,Coloboma,1475,0000589,12270,0090006
5637,Vesicoureteral reflux,1225,0000076,9620,0050654
5638,Hydronephrosis,1225,0000126,11111,0050654
5639,Cleft palate,1225,0000175,674,0050654
5640,Sarcoma,1225,0100242,1115,0050654
5641,Scoliosis,1225,0002650,0060249,0050654
5642,Lymphoma,1225,0002665,0060058,0050654
5643,Osteosarcoma,1225,0002669,3347,0050654
5644,Nephronophthisis,3156,0000090,12712,0050576
5654,Cataract,3156,0000518,83,0050576
5664,Hypertension,3156,0000822,10763,0050576
5674,Chronic kidney disease,3156,0012622,784,0050576
5684,Proteinuria,347,0000093,576,0050438
5685,Focal segmental glomerulosclerosis,347,0000097,1312,0050438
5686,Nephrotic syndrome,347,0000100,1184,0050438
5687,Gonadal dysgenesis,347,0000133,14447,0050438
5688,Hypogonadism,347,0000135,1924,0050438
5689,Amenorrhea,347,0000141,13938,0050438
5690,Gonadoblastoma,347,0000150,3301,0050438
5691,Hypertension,347,0000822,10763,0050438
5692,Nephroblastoma,347,0002667,2154,0050438
5693,Hyperpituitarism,347,0010514,2444,0050438
5694,Proteinuria,2065,0000093,576,0080694
5702,Nephrotic syndrome,2065,0000100,1184,0080694
5710,Microcephaly,2065,0000252,10907,0080694
5718,Lissencephaly,2065,0001339,0050453,0080694
5726,Hiatus hernia,2065,0002036,12642,0080694
5734,Proteinuria,419,0000093,576,0080542
5735,Schizophrenia,419,0100753,5419,0080542
5736,Hyperprolinemia,419,0008358,0080541,0080542
5737,Proteinuria,2143,0000093,576,0090144
5738,Retinal detachment,2143,0000541,5327,0090144
5739,Myopia,2143,0000545,11830,0090144
5740,Coloboma,2143,0000589,12270,0090144
5741,Congenital diaphragmatic hernia,2143,0000776,3827,0090144
5742,Intellectual disability,2143,0001249,1059,0090144
5743,Umbilical hernia,2143,0001537,0060321,0090144
5744,Omphalocele,2143,0001539,0060327,0090144
5745,Ventricular septal defect,2143,0001629,1657,0090144
5746,Proteinuria,275555,0000093,576,10591
5749,Ovarian cyst,275555,0000138,5119,10591
5752,Diabetes mellitus,275555,0000819,9351,10591
5755,Hypertension,275555,0000822,10763,10591
5758,Thrombocytopenia,275555,0001873,1588,10591
5761,Glucose intolerance,275555,0001952,10603,10591
5764,Chronic kidney disease,275555,0012622,784,10591
5767,Proteinuria,33001,0000093,576,0111509
5768,Cleft palate,33001,0000175,674,0111509
5769,Cleft lip,33001,0410030,9296,0111509
5770,Ptosis,33001,0000508,0060260,0111509
5771,Conjunctivitis,33001,0000509,6195,0111509
5772,Cataract,33001,0000518,83,0111509
5773,Ectropion,33001,0000656,1570,0111509
5774,Diabetes mellitus,33001,0000819,9351,0111509
5775,Lymphedema,33001,0001004,4977,0111509
5776,Patent ductus arteriosus,33001,0001643,13832,0111509
5777,Sarcoma,33001,0100242,1115,0111509
5778,Fibrosarcoma,33001,0100244,3355,0111509
5779,Glucose intolerance,33001,0001952,10603,0111509
5780,Varicose veins,33001,0002619,799,0111509
5781,Venous insufficiency,33001,0005293,10128,0111509
5782,Proteinuria,976,0000093,576,0060350
5783,Nephrolithiasis,976,0000787,585,0060350
5784,Uric acid nephrolithiasis,976,0000791,580,0060350
5785,Hypertension,976,0000822,10763,0060350
5786,Atrial fibrillation,976,0005110,0060224,0060350
5787,Chronic kidney disease,976,0012622,784,0060350
5788,Proteinuria,2614,0000093,576,9467
5789,Nephrotic syndrome,2614,0000100,1184,9467
5790,Nephritis,2614,0000123,10952,9467
5791,Glaucoma,2614,0000501,1686,9467
5792,Osteoporosis,2614,0000939,11476,9467
5793,Pterygium,2614,0001059,0002116,9467
5794,Arthritis,2614,0001369,848,9467
5795,Constipation,2614,0002019,2089,9467
5796,Scoliosis,2614,0002650,0060249,9467
5797,Spondylolisthesis,2614,0003302,6682,9467
5798,Spondylolysis,2614,0003304,2300,9467
5799,Osteochondrosis,2614,0040188,8125,9467
5800,Ocular hypertension,2614,0007906,9282,9467
5801,Primary congenital glaucoma,2614,0008007,0050593,9467
5802,Osteochondritis Dissecans,2614,0010886,84,9467
5803,Open angle glaucoma,2614,0012108,1067,9467
5804,Chronic kidney disease,2614,0012622,784,9467
5805,Proteinuria,244242,0000093,576,13133
5809,Thrombocytopenia,244242,0001873,1588,13133
5813,Hemolytic anemia,244242,0001878,583,13133
5817,Anemia,244242,0001903,2355,13133
5821,Pulmonary edema,244242,0100598,11396,13133
5825,Eclampsia,244242,0100601,13593,13133
5829,Preeclampsia,244242,0100602,10591,13133
5833,Hemoglobinuria,244242,0003641,582,13133
5837,Disseminated intravascular coagulation,244242,0005521,11247,13133
5841,Placental abruption,244242,0011419,9667,13133
5845,Proteinuria,182050,0000093,576,0060651
5846,Nephritis,182050,0000123,10952,0060651
5847,Cataract,182050,0000518,83,0060651
5848,Myocardial infarction,182050,0001658,5844,0060651
5849,Thrombocytopenia,182050,0001873,1588,0060651
5850,Proteinuria,342,0000093,576,2987
5851,Nephrotic syndrome,342,0000100,1184,2987
5852,Nephrocalcinosis,342,0000121,12679,2987
5853,Erysipelas,342,0001055,11330,2987
5854,Meningitis,342,0001287,9471,2987
5855,Arthritis,342,0001369,848,2987
5856,Myocardial infarction,342,0001658,5844,2987
5857,Pericarditis,342,0001701,1787,2987
5858,Pancreatitis,342,0001733,4989,2987
5859,Diarrhea,342,0002014,13250,2987
5860,Constipation,342,0002019,2089,2987
5861,Orchitis,342,0100796,2518,2987
5862,Peritonitis,342,0002586,8283,2987
5863,Vasculitis,342,0002633,865,2987
5864,Osteoarthritis,342,0002758,8398,2987
5865,Intestinal obstruction,342,0005214,8437,2987
5866,Proteinuria,470,0000093,576,0060439
5867,Glomerulonephritis,470,0000099,2921,0060439
5868,Nephritis,470,0000123,10952,0060439
5869,Osteoporosis,470,0000939,11476,0060439
5870,Intellectual disability,470,0001249,1059,0060439
5871,Pancreatitis,470,0001733,4989,0060439
5872,Thrombocytopenia,470,0001873,1588,0060439
5873,Leukopenia,470,0001882,615,0060439
5874,Anemia,470,0001903,2355,0060439
5875,Diarrhea,470,0002014,13250,0060439
5876,Oroticaciduria,470,0003218,0050833,0060439
5877,Complement deficiency,470,0004431,626,0060439
5878,Hypopituitarism,470,0040075,9406,0060439
5879,Hyperprolinemia,470,0008358,0080541,0060439
5880,Hypolipoproteinemia,470,0010981,1387,0060439
5881,Amyloidosis,470,0011034,9120,0060439
5882,Renal fibrosis,470,0030760,0050855,0060439
5883,Proteinuria,358,0000093,576,0050450
5885,Focal segmental glomerulosclerosis,358,0000097,1312,0050450
5887,Diabetes mellitus,358,0000819,9351,0050450
5889,Hyperthyroidism,358,0000836,7998,0050450
5891,Chondrocalcinosis,358,0000934,1156,0050450
5893,Arthritis,358,0001369,848,0050450
5895,Pericardial effusion,358,0001698,118,0050450
5897,Iron deficiency anemia,358,0001891,11758,0050450
5899,Anemia,358,0001903,2355,0050450
5901,Hypochromic anemia,358,0001931,11759,0050450
5903,Metabolic acidosis,358,0001942,0050758,0050450
5905,Renal tubular acidosis,358,0001947,14219,0050450
5907,Glucose intolerance,358,0001952,10603,0050450
5909,Diabetic ketoacidosis,358,0001953,1837,0050450
5911,Gout,358,0001997,13189,0050450
5913,Diarrhea,358,0002014,13250,0050450
5915,Constipation,358,0002019,2089,0050450
5917,Scleroderma,358,0100324,419,0050450
5919,Graves disease,358,0100647,12361,0050450
5921,Thyroiditis,358,0100646,7166,0050450
5923,Varicose veins,358,0002619,799,0050450
5925,Parathyroid adenoma,358,0002897,7608,0050450
5927,Hypokalemia,358,0002900,4500,0050450
5929,Venous insufficiency,358,0005293,10128,0050450
5931,Primary hyperaldosteronism,358,0011736,446,0050450
5933,Proteinuria,324,0000093,576,14499
5934,Nephrotic syndrome,324,0000100,1184,14499
5935,Cataract,324,0000518,83,14499
5936,Optic atrophy,324,0000648,5723,14499
5937,Hypertension,324,0000822,10763,14499
5938,Diabetes insipidus,324,0000873,9409,14499
5939,Hypohidrosis,324,0000966,11155,14499
5940,Lymphedema,324,0001004,4977,14499
5941,Angiokeratoma,324,0001014,479,14499
5942,Corneal dystrophy,324,0001131,2566,14499
5943,Arthritis,324,0001369,848,14499
5944,Congestive heart failure,324,0001635,6000,14499
