,HPO_LABEL,ORPHA,HPO,MESH,DOID
5863,Cryptorchidism,36,0000028,D003456,9250
5865,Hypospadias,36,0000047,D007021,9250
5867,Hypertelorism,36,0000316,D006972,9250
5869,Triphalangeal thumb,36,0001199,C573898,9250
5871,Intellectual disability,36,0001249,D008607,9250
5873,Cerebellar hypoplasia,36,0001321,C562568,9250
5875,Hernia,36,0100790,D006547,9250
5877,Polydactyly,36,0010442,D017689,9250
5879,Cryptorchidism,1263,0000028,D003456,0050680
5880,Edema,1263,0000969,D004487,0050680
5881,Syndactyly,1263,0001159,D013576,0050680
5882,Polyhydramnios,1263,0001561,D006831,0050680
5883,Hydrops fetalis,1263,0001789,D015160,0050680
5884,Hernia,1263,0100790,D006547,0050680
5885,Hypopituitarism,1263,0040075,D007018,0050680
5886,Cryptorchidism,950,0000028,D003456,14669
5888,Hypogonadism,950,0000135,D007006,14669
5890,Hypertelorism,950,0000316,D006972,14669
5892,Brachydactyly,950,0001156,D059327,14669
5894,Intellectual disability,950,0001249,D008607,14669
5896,Nevus,950,0003764,D009506,14669
5898,Open bite,950,0010807,D024343,14669
5900,Cryptorchidism,138,0000028,D003456,0050834
5902,Vesicoureteral reflux,138,0000076,D014718,0050834
5904,Hydronephrosis,138,0000126,D006869,0050834
5906,Hypogonadism,138,0000135,D007006,0050834
5908,Cleft palate,138,0000175,D002972,0050834
5910,Microcephaly,138,0000252,D008831,0050834
5912,Hypertelorism,138,0000316,D006972,0050834
5914,Facial asymmetry,138,0000324,D005146,0050834
5916,Cleft lip,138,0410030,D002971,0050834
5918,Choanal atresia,138,0000453,D002754,0050834
5920,Anosmia,138,0000458,D000086582,0050834
5922,Strabismus,138,0000486,D013285,0050834
5924,Coloboma,138,0000589,D003103,0050834
5926,Optic atrophy,138,0000648,D009896,0050834
5928,Brachydactyly,138,0001156,D059327,0050834
5930,Intellectual disability,138,0001249,D008607,0050834
5932,Cerebellar hypoplasia,138,0001321,C562568,0050834
5934,Muscle weakness,138,0001324,D018908,0050834
5936,Holoprosencephaly,138,0001360,D016142,0050834
5938,Polyhydramnios,138,0001561,D006831,0050834
5940,Laryngomalacia,138,0001601,D055092,0050834
5942,Tetralogy of Fallot,138,0001636,D013771,0050834
5944,Talipes,138,0001883,D000070558,0050834
5946,Gastroesophageal reflux,138,0002020,D005764,0050834
5948,Respiratory insufficiency,138,0002093,D012131,0050834
5950,Tracheoesophageal fistula,138,0002575,D014138,0050834
5952,Scoliosis,138,0002650,D012600,0050834
5954,Aortic aneurysm,138,0004942,D001014,0050834
5956,Hypopituitarism,138,0040075,D007018,0050834
5958,Cryptorchidism,3447,0000028,D003456,14731
5962,Retrognathia,3447,0000278,D063173,14731
5966,Hypertelorism,3447,0000316,D006972,14731
5970,Cutis laxa,3447,0000973,D003483,14731
5974,Syndactyly,3447,0001159,D013576,14731
5978,Intellectual disability,3447,0001249,D008607,14731
5982,Talipes,3447,0001883,D000070558,14731
5986,Hernia,3447,0100790,D006547,14731
5990,Scoliosis,3447,0002650,D012600,14731
5994,Cryptorchidism,2849,0000028,D003456,0060476
5995,Retrognathia,2849,0000278,D063173,0060476
5996,Hemangioma,2849,0001028,D006391,0060476
5997,Intellectual disability,2849,0001249,D008607,0060476
5998,Status epilepticus,2849,0002133,D013226,0060476
5999,Hepatomegaly,2849,0002240,D006529,0060476
6000,Hernia,2849,0100790,D006547,0060476
6001,Nevus,2849,0003764,D009506,0060476
6002,Cryptorchidism,818,0000028,D003456,14692
6003,Hypospadias,818,0000047,D007021,14692
6004,Hydronephrosis,818,0000126,D006869,14692
6005,Cleft palate,818,0000175,D002972,14692
6006,Gingival overgrowth,818,0000212,D019214,14692
6007,Microcephaly,818,0000252,D008831,14692
6008,Hypertelorism,818,0000316,D006972,14692
6009,Choanal atresia,818,0000453,D002754,14692
6010,Strabismus,818,0000486,D013285,14692
6011,Glaucoma,818,0000501,D005901,14692
6012,Cataract,818,0000518,D002386,14692
6013,Coloboma,818,0000589,D003103,14692
6014,Sclerocornea,818,0000647,C565209,14692
6015,Optic atrophy,818,0000648,D009896,14692
6016,Edema,818,0000969,D004487,14692
6017,Hemangioma,818,0001028,D006391,14692
6018,Brachydactyly,818,0001156,D059327,14692
6019,Syndactyly,818,0001159,D013576,14692
6020,Intellectual disability,818,0001249,D008607,14692
6021,Holoprosencephaly,818,0001360,D016142,14692
6022,Gastroschisis,818,0001543,D020139,14692
6023,Polyhydramnios,818,0001561,D006831,14692
6024,Talipes,818,0001883,D000070558,14692
6025,Ectrodactyly,818,0100257,C574275,14692
6026,Gastroesophageal reflux,818,0002020,D005764,14692
6027,Pyloric stenosis,818,0002021,D011707,14692
6028,Self-injurious behavior,818,0100716,D016728,14692
6029,Hernia,818,0100790,D006547,14692
6030,Scoliosis,818,0002650,D012600,14692
6031,Tracheal stenosis,818,0002777,D014135,14692
6032,Kyphosis,818,0002808,D007738,14692
6033,Hip dislocation,818,0002827,D006617,14692
6034,Ureteral obstruction,818,0006000,D014517,14692
6035,Corneal opacity,818,0007957,D003318,14692
6036,Polydactyly,818,0010442,D017689,14692
6037,Cryptorchidism,2505,0000028,D003456,0112241
6039,Hypospadias,2505,0000047,D007021,0112241
6041,Cleft palate,2505,0000175,D002972,0112241
6043,Microcephaly,2505,0000252,D008831,0112241
6045,Edema,2505,0000969,D004487,0112241
6047,Hirsutism,2505,0001007,D006628,0112241
6049,Intellectual disability,2505,0001249,D008607,0112241
6051,Hernia,2505,0100790,D006547,0112241
6053,Neuroblastoma,2505,0003006,D009447,0112241
6055,Cryptorchidism,3138,0000028,D003456,0060614
6056,Pectus carinatum,3138,0000768,D066166,0060614
6057,Obesity,3138,0001513,D009765,0060614
6058,Laryngomalacia,3138,0001601,D055092,0060614
6059,Pyloric stenosis,3138,0002021,D011707,0060614
6060,Hernia,3138,0100790,D006547,0060614
6061,Polydactyly,3138,0010442,D017689,0060614
6062,Cryptorchidism,2834,0000028,D003456,0112171
6063,Microcephaly,2834,0000252,D008831,0112171
6064,Hypertelorism,2834,0000316,D006972,0112171
6065,Myopia,2834,0000545,D009216,0112171
6066,Cutis laxa,2834,0000973,D003483,0112171
6067,Ataxia,2834,0001251,D001259,0112171
6068,Cerebellar hypoplasia,2834,0001321,C562568,0112171
6069,Failure to thrive,2834,0001508,D005183,0112171
6070,Status epilepticus,2834,0002133,D013226,0112171
6071,Hernia,2834,0100790,D006547,0112171
6072,Scoliosis,2834,0002650,D012600,0112171
6073,Kyphosis,2834,0002808,D007738,0112171
6074,Coxa vara,2834,0002812,D060905,0112171
6075,Hip dislocation,2834,0002827,D006617,0112171
6076,Lipodystrophy,2834,0009125,D008060,0112171
6077,Cryptorchidism,503,0000028,D003456,14764
6078,Cleft palate,503,0000175,D002972,14764
6079,Hypertelorism,503,0000316,D006972,14764
6080,Brachydactyly,503,0001156,D059327,14764
6081,Syndactyly,503,0001159,D013576,14764
6082,Intellectual disability,503,0001249,D008607,14764
6083,Respiratory insufficiency,503,0002093,D012131,14764
6084,Scoliosis,503,0002650,D012600,14764
6085,Tracheomalacia,503,0002779,D055090,14764
6086,Cryptorchidism,1507,0000028,D003456,0060764
6088,Hydronephrosis,1507,0000126,D006869,0060764
6090,Gingival overgrowth,1507,0000212,D019214,0060764
6092,Hypertelorism,1507,0000316,D006972,0060764
6094,Otitis media,1507,0000388,D010033,0060764
6096,Strabismus,1507,0000486,D013285,0060764
6098,Pectus carinatum,1507,0000768,D066166,0060764
6100,Brachydactyly,1507,0001156,D059327,0060764
6102,Syndactyly,1507,0001159,D013576,0060764
6104,Intellectual disability,1507,0001249,D008607,0060764
6106,Alopecia,1507,0001596,D000505,0060764
6108,Tetralogy of Fallot,1507,0001636,D013771,0060764
6110,Ectrodactyly,1507,0100257,C574275,0060764
6112,Hernia,1507,0100790,D006547,0060764
6114,Scoliosis,1507,0002650,D012600,0060764
6116,Kyphosis,1507,0002808,D007738,0060764
6118,Nevus,1507,0003764,D009506,0060764
6120,Ankyloglossia,1507,0010296,D000072676,0060764
6122,Open bite,1507,0010807,D024343,0060764
6124,Cryptorchidism,3047,0000028,D003456,0060290
6125,Cleft palate,3047,0000175,D002972,0060290
6126,Cleft soft palate,3047,0000185,C562950,0060290
6127,Microcephaly,3047,0000252,D008831,0060290
6128,Retrognathia,3047,0000278,D063173,0060290
6129,Blepharophimosis,3047,0000581,D016569,0060290
6130,Hypothyroidism,3047,0000821,D007037,0060290
6131,Intellectual disability,3047,0001249,D008607,0060290
6132,Failure to thrive,3047,0001508,D005183,0060290
6133,Polyhydramnios,3047,0001561,D006831,0060290
6134,Thyroid dysgenesis,3047,0008188,D050033,0060290
6135,Cryptorchidism,2377,0000028,D003456,1930
6136,Renal insufficiency,2377,0000083,D051437,1930
6137,Strabismus,2377,0000486,D013285,1930
6138,Cataract,2377,0000518,D002386,1930
6139,Coloboma,2377,0000589,D003103,1930
6140,Diabetes mellitus,2377,0000819,D003920,1930
6141,Brachydactyly,2377,0001156,D059327,1930
6142,Syndactyly,2377,0001159,D013576,1930
6143,Intellectual disability,2377,0001249,D008607,1930
6144,Ataxia,2377,0001251,D001259,1930
6145,Obesity,2377,0001513,D009765,1930
6146,Glucose intolerance,2377,0001952,D018149,1930
6147,Polydactyly,2377,0010442,D017689,1930
6148,Cryptorchidism,2658,0000028,D003456,0111507
6149,Epispadias,2658,0000039,D004842,0111507
6150,Hypospadias,2658,0000047,D007021,0111507
6151,Hypogonadism,2658,0000135,D007006,0111507
6152,Cleft palate,2658,0000175,D002972,0111507
6153,Cleft soft palate,2658,0000185,C562950,0111507
6154,Hydrocephalus,2658,0000238,D006849,0111507
6155,Hypertelorism,2658,0000316,D006972,0111507
6156,Choanal atresia,2658,0000453,D002754,0111507
6157,Cutis laxa,2658,0000973,D003483,0111507
6158,Brachydactyly,2658,0001156,D059327,0111507
6159,Syndactyly,2658,0001159,D013576,0111507
6160,Intellectual disability,2658,0001249,D008607,0111507
6161,Agenesis of corpus callosum,2658,0001274,D061085,0111507
6162,Muscle weakness,2658,0001324,D018908,0111507
6163,Hyperostosis,2658,0100774,D015576,0111507
6164,Hernia,2658,0100790,D006547,0111507
6165,Scoliosis,2658,0002650,D012600,0111507
6166,Kyphosis,2658,0002808,D007738,0111507
6167,Osteopetrosis,2658,0011002,D010022,0111507
6168,Ankylosis,2658,0031013,D000844,0111507
6169,Cryptorchidism,672,0000028,D003456,9248
6170,Hypospadias,672,0000047,D007021,9248
6171,Cleft palate,672,0000175,D002972,9248
6172,Cleft soft palate,672,0000185,C562950,9248
6173,Retrognathia,672,0000278,D063173,9248
6174,Hypertelorism,672,0000316,D006972,9248
6175,Cleft lip,672,0410030,D002971,9248
6176,Choanal atresia,672,0000453,D002754,9248
6177,Hypothyroidism,672,0000821,D007037,9248
6178,Adrenal insufficiency,672,0000846,D000309,9248
6179,Hemangioma,672,0001028,D006391,9248
6180,Brachydactyly,672,0001156,D059327,9248
6181,Syndactyly,672,0001159,D013576,9248
6182,Intellectual disability,672,0001249,D008607,9248
6183,Cerebellar hypoplasia,672,0001321,C562568,9248
6184,Holoprosencephaly,672,0001360,D016142,9248
6185,Oligohydramnios,672,0001562,D016104,9248
6186,Talipes,672,0001883,D000070558,9248
6187,Respiratory insufficiency,672,0002093,D012131,9248
6188,Anencephaly,672,0002323,D000757,9248
6189,Hernia,672,0100790,D006547,9248
6190,Hip dislocation,672,0002827,D006617,9248
6191,Hypopituitarism,672,0040075,D007018,9248
6192,Laryngeal cleft,672,0008751,C537875,9248
6193,Polydactyly,672,0010442,D017689,9248
6194,Hamartoma,672,0010566,D006222,9248
6195,Adrenocorticotropic hormone deficiency,672,0011748,C535668,9248
6196,Osteochondroma,672,0030431,D015831,9248
6197,Cryptorchidism,2789,0000028,D003456,0111343
6198,Hypertelorism,2789,0000316,D006972,0111343
6199,Coloboma,2789,0000589,D003103,0111343
6200,Arnold-Chiari malformation,2789,0002308,D001139,0111343
6201,Meningocele,2789,0002435,D008588,0111343
6202,Hyperostosis,2789,0100774,D015576,0111343
6203,Hernia,2789,0100790,D006547,0111343
6204,Scoliosis,2789,0002650,D012600,0111343
6205,Kyphosis,2789,0002808,D007738,0111343
6206,Syringomyelia,2789,0003396,D013595,0111343
6207,Spinal dysraphism,2789,0010301,D016135,0111343
6208,Cryptorchidism,85282,0000028,D003456,0060801
6209,Microcephaly,85282,0000252,D008831,0060801
6210,Diabetes mellitus,85282,0000819,D003920,0060801
6211,Intellectual disability,85282,0001249,D008607,0060801
6212,Obesity,85282,0001513,D009765,0060801
6213,Talipes,85282,0001883,D000070558,0060801
6214,Glucose intolerance,85282,0001952,D018149,0060801
6215,Cryptorchidism,1308,0000028,D003456,0111581
6216,Cleft palate,1308,0000175,D002972,0111581
6217,Gingival overgrowth,1308,0000212,D019214,0111581
6218,Microcephaly,1308,0000252,D008831,0111581
6219,Strabismus,1308,0000486,D013285,0111581
6220,Cutis laxa,1308,0000973,D003483,0111581
6221,Hemangioma,1308,0001028,D006391,0111581
6222,Syndactyly,1308,0001159,D013576,0111581
6223,Intellectual disability,1308,0001249,D008607,0111581
6224,Failure to thrive,1308,0001508,D005183,0111581
6225,Polyhydramnios,1308,0001561,D006831,0111581
6226,Talipes,1308,0001883,D000070558,0111581
6227,Constipation,1308,0002019,D003248,0111581
6228,Hernia,1308,0100790,D006547,0111581
6229,Polydactyly,1308,0010442,D017689,0111581
6230,Cryptorchidism,168572,0000028,D003456,0060346
6231,Cleft palate,168572,0000175,D002972,0060346
6232,Cleft soft palate,168572,0000185,C562950,0060346
6233,Hemangioma,168572,0001028,D006391,0060346
6234,Intellectual disability,168572,0001249,D008607,0060346
6235,Dysarthria,168572,0001260,D004401,0060346
6236,Muscle weakness,168572,0001324,D018908,0060346
6237,Talipes,168572,0001883,D000070558,0060346
6238,Gastroesophageal reflux,168572,0002020,D005764,0060346
6239,Malignant hyperthermia,168572,0002047,D008305,0060346
6240,Respiratory insufficiency,168572,0002093,D012131,0060346
6241,Scoliosis,168572,0002650,D012600,0060346
6242,Cryptorchidism,821,0000028,D003456,14748
6245,Hypospadias,821,0000047,D007021,14748
6248,Vesicoureteral reflux,821,0000076,D014718,14748
6251,Renal insufficiency,821,0000083,D051437,14748
6254,Hydronephrosis,821,0000126,D006869,14748
6257,Otitis media,821,0000388,D010033,14748
6260,Astigmatism,821,0000483,D001251,14748
6263,Strabismus,821,0000486,D013285,14748
6266,Cataract,821,0000518,D002386,14748
6269,Myopia,821,0000545,D009216,14748
6272,Anxiety,821,0000739,D001007,14748
6275,Urethral obstruction,821,0000796,D014524,14748
6278,Hypothyroidism,821,0000821,D007037,14748
6281,Jaundice,821,0000952,D007565,14748
6284,Edema,821,0000969,D004487,14748
6287,Hemangioma,821,0001028,D006391,14748
6290,Syndactyly,821,0001159,D013576,14748
6293,Intellectual disability,821,0001249,D008607,14748
6296,Cerebellar hypoplasia,821,0001321,C562568,14748
6299,Tremor,821,0001337,D014202,14748
6302,Cholestasis,821,0001396,D002779,14748
6305,Phimosis,821,0001741,D010688,14748
6308,Talipes,821,0001883,D000070558,14748
6311,Leukemia,821,0001909,D007938,14748
6314,Hypoglycemia,821,0001943,D007003,14748
6317,Constipation,821,0002019,D003248,14748
6320,Gastroesophageal reflux,821,0002020,D005764,14748
6323,Emphysema,821,0002097,D004646,14748
6326,Dyscalculia,821,0002442,D060705,14748
6329,Hernia,821,0100790,D006547,14748
6332,Scoliosis,821,0002650,D012600,14748
6335,Kyphosis,821,0002808,D007738,14748
6338,Neuroblastoma,821,0003006,D009447,14748
6341,Hypercalcemia,821,0003072,D006934,14748
6344,Hip contracture,821,0003273,D006616,14748
6347,Aortic aneurysm,821,0004942,D001014,14748
6350,Ureteral obstruction,821,0006000,D014517,14748
6353,Astrocytoma,821,0009592,D001254,14748
6356,Glioma,821,0009733,D005910,14748
6359,Teratoma,821,0009792,D013724,14748
6362,Cholesteatoma,821,0009797,D002781,14748
6365,Small cell lung carcinoma,821,0030357,D055752,14748
6368,Flushing,821,0031284,D005483,14748
6371,Cryptorchidism,276432,0000028,D003456,0050781
6372,Retrognathia,276432,0000278,D063173,0050781
6373,Torticollis,276432,0000473,D014103,0050781
6374,Cutis laxa,276432,0000973,D003483,0050781
6375,Lethargy,276432,0001254,D053609,0050781
6376,Dystonia,276432,0001332,D004421,0050781
6377,Hernia,276432,0100790,D006547,0050781
6378,Scoliosis,276432,0002650,D012600,0050781
6379,Shock,276432,0031273,D012769,0050781
6380,Cryptorchidism,401973,0000028,D003456,0111865
6381,Cleft palate,401973,0000175,D002972,0111865
6382,Hydrocephalus,401973,0000238,D006849,0111865
6383,Hypertelorism,401973,0000316,D006972,0111865
6384,Telecanthus,401973,0000506,C562941,0111865
6385,Cataract,401973,0000518,D002386,0111865
6386,Syndactyly,401973,0001159,D013576,0111865
6387,Intellectual disability,401973,0001249,D008607,0111865
6388,Cerebellar hypoplasia,401973,0001321,C562568,0111865
6389,Failure to thrive,401973,0001508,D005183,0111865
6390,Aortic valve stenosis,401973,0001650,D001024,0111865
6391,Kyphosis,401973,0002808,D007738,0111865
6392,Ichthyosis,401973,0008064,D007057,0111865
6393,Polydactyly,401973,0010442,D017689,0111865
6394,Cryptorchidism,847,0000028,D003456,0110030
6395,Hydronephrosis,847,0000126,D006869,0110030
6396,Macroglossia,847,0000158,D008260,0110030
6397,Microcephaly,847,0000252,D008831,0110030
6398,Hypertelorism,847,0000316,D006972,0110030
6399,Telecanthus,847,0000506,C562941,0110030
6400,Myopia,847,0000545,D009216,0110030
6401,Blindness,847,0000618,D001766,0110030
6402,Optic atrophy,847,0000648,D009896,0110030
6403,Depression,847,0000716,D003863,0110030
6404,Brachydactyly,847,0001156,D059327,0110030
6405,Intellectual disability,847,0001249,D008607,0110030
6406,Agenesis of corpus callosum,847,0001274,D061085,0110030
6407,Talipes,847,0001883,D000070558,0110030
6408,Anemia,847,0001903,D000740,0110030
6409,Constipation,847,0002019,D003248,0110030
6410,Gastroesophageal reflux,847,0002020,D005764,0110030
6411,Aphasia,847,0002381,D001037,0110030
6412,Encephalitis,847,0002383,D004660,0110030
6413,Self-injurious behavior,847,0100716,D016728,0110030
6414,Paraplegia,847,0010550,D010264,0110030
6415,Cryptorchidism,2378,0000028,D003456,0111350
6416,Hydrocephalus,2378,0000238,D006849,0111350
6417,Hypertelorism,2378,0000316,D006972,0111350
6418,Syndactyly,2378,0001159,D013576,0111350
6419,Triphalangeal thumb,2378,0001199,C573898,0111350
6420,Intellectual disability,2378,0001249,D008607,0111350
6421,Talipes,2378,0001883,D000070558,0111350
6422,Polydactyly,2378,0010442,D017689,0111350
6423,Cryptorchidism,3071,0000028,D003456,0050469
6424,Macroglossia,3071,0000158,D008260,0050469
6425,Strabismus,3071,0000486,D013285,0050469
6426,Keratoconus,3071,0000563,D007640,0050469
6427,Acanthosis nigricans,3071,0000956,D000052,0050469
6428,Cutis laxa,3071,0000973,D003483,0050469
6429,Intellectual disability,3071,0001249,D008607,0050469
6430,Failure to thrive,3071,0001508,D005183,0050469
6431,Polyhydramnios,3071,0001561,D006831,0050469
6432,Mitral valve prolapse,3071,0001634,D008945,0050469
6433,Gastroesophageal reflux,3071,0002020,D005764,0050469
6434,Papilloma,3071,0012740,D010212,0050469
6435,Cryptorchidism,284339,0000028,D003456,0060276
6436,Gonadal dysgenesis,284339,0000133,D006059,0060276
6437,Microcephaly,284339,0000252,D008831,0060276
6438,Optic atrophy,284339,0000648,D009896,0060276
6439,Intellectual disability,284339,0001249,D008607,0060276
6440,Cerebellar hypoplasia,284339,0001321,C562568,0060276
6441,Muscle weakness,284339,0001324,D018908,0060276
6442,Myoclonus,284339,0001336,D009207,0060276
6443,Cryptorchidism,921,0000028,D003456,0111826
6444,Hypospadias,921,0000047,D007021,0111826
6445,Cleft palate,921,0000175,D002972,0111826
6446,Coloboma,921,0000589,D003103,0111826
6447,Brachydactyly,921,0001156,D059327,0111826
6448,Syndactyly,921,0001159,D013576,0111826
6449,Radioulnar synostosis,921,0002974,C562408,0111826
6450,Cryptorchidism,1106,0000028,D003456,0060861
6451,Cleft palate,1106,0000175,D002972,0060861
6452,Hydrocephalus,1106,0000238,D006849,0060861
6453,Cleft lip,1106,0410030,D002971,0060861
6454,Blepharophimosis,1106,0000581,D016569,0060861
6455,Optic atrophy,1106,0000648,D009896,0060861
6456,Syndactyly,1106,0001159,D013576,0060861
6457,Intellectual disability,1106,0001249,D008607,0060861
6458,Failure to thrive,1106,0001508,D005183,0060861
6459,Talipes,1106,0001883,D000070558,0060861
6460,Anencephaly,1106,0002323,D000757,0060861
6461,Hip dislocation,1106,0002827,D006617,0060861
6462,Venous insufficiency,1106,0005293,D014689,0060861
6463,Polydactyly,1106,0010442,D017689,0060861
6464,Epispadias,93930,0000039,D004842,0080174
6466,Vesicoureteral reflux,93930,0000076,D014718,0080174
6468,Hernia,93930,0100790,D006547,0080174
6470,Bladder exstrophy,93930,0002836,D001746,0080174
6472,Hypospadias,90652,0000047,D007021,0111784
6473,Hydronephrosis,90652,0000126,D006869,0111784
6474,Glossoptosis,90652,0000162,D065710,0111784
6475,Cleft palate,90652,0000175,D002972,0111784
6476,Hydrocephalus,90652,0000238,D006849,0111784
6477,Hypertelorism,90652,0000316,D006972,0111784
6478,Glaucoma,90652,0000501,D005901,0111784
6479,Cataract,90652,0000518,D002386,0111784
6480,Anodontia,90652,0000674,D000848,0111784
6481,Intellectual disability,90652,0001249,D008607,0111784
6482,Cerebellar hypoplasia,90652,0001321,C562568,0111784
6483,Failure to thrive,90652,0001508,D005183,0111784
6484,Encephalocele,90652,0002084,D004677,0111784
6485,Meningocele,90652,0002435,D008588,0111784
6486,Hernia,90652,0100790,D006547,0111784
6487,Scoliosis,90652,0002650,D012600,0111784
6488,Ureteral obstruction,90652,0006000,D014517,0111784
6489,Spinal dysraphism,90652,0010301,D016135,0111784
6490,Polydactyly,90652,0010442,D017689,0111784
6491,Hypospadias,1358,0000047,D007021,0080194
6492,Hydronephrosis,1358,0000126,D006869,0080194
6493,Glossoptosis,1358,0000162,D065710,0080194
6494,Cleft palate,1358,0000175,D002972,0080194
6495,Microcephaly,1358,0000252,D008831,0080194
6496,Hypertension,1358,0000822,D006973,0080194
6497,Brachydactyly,1358,0001156,D059327,0080194
6498,Intellectual disability,1358,0001249,D008607,0080194
6499,Muscle weakness,1358,0001324,D018908,0080194
6500,Talipes,1358,0001883,D000070558,0080194
6501,Scoliosis,1358,0002650,D012600,0080194
6502,Hypospadias,782,0000047,D007021,14686
6505,Hypertelorism,782,0000316,D006972,14686
6508,Glaucoma,782,0000501,D005901,14686
6511,Telecanthus,782,0000506,C562941,14686
6514,Cutis laxa,782,0000973,D003483,14686
6517,Hypospadias,1896,0000047,D007021,0060782
6518,Vesicoureteral reflux,1896,0000076,D014718,0060782
6519,Hydronephrosis,1896,0000126,D006869,0060782
6520,Cleft palate,1896,0000175,D002972,0060782
6521,Xerostomia,1896,0000217,D014987,0060782
6522,Choanal atresia,1896,0000453,D002754,0060782
6523,Keratitis,1896,0000491,D007634,0060782
6524,Blepharitis,1896,0000498,D001762,0060782
6525,Photophobia,1896,0000613,D020795,0060782
6526,Entropion,1896,0000621,D004774,0060782
6527,Hypohidrosis,1896,0000966,D007007,0060782
6528,Syndactyly,1896,0001159,D013576,0060782
6529,Intellectual disability,1896,0001249,D008607,0060782
6530,Ectrodactyly,1896,0100257,C574275,0060782
6531,Lymphoma,1896,0002665,D008223,0060782
6532,Nevus,1896,0003764,D009506,0060782
6533,Hypopituitarism,1896,0040075,D007018,0060782
6534,Hypospadias,2616,0000047,D007021,0060241
6537,Scoliosis,2616,0002650,D012600,0060241
6540,Kyphosis,2616,0002808,D007738,0060241
6543,Hip dislocation,2616,0002827,D006617,0060241
6546,Hypospadias,2438,0000047,D007021,0060739
6547,Vesicoureteral reflux,2438,0000076,D014718,0060739
6548,Strabismus,2438,0000486,D013285,0060739
6549,Ureteral obstruction,2438,0006000,D014517,0060739
6550,Hallux varus,2438,0008080,D050488,0060739
6551,Polydactyly,2438,0010442,D017689,0060739
6552,Hypospadias,955,0000047,D007021,2736
6553,Cleft palate,955,0000175,D002972,2736
6554,Hydrocephalus,955,0000238,D006849,2736
6555,Hypertelorism,955,0000316,D006972,2736
6556,Telecanthus,955,0000506,C562941,2736
6557,Cataract,955,0000518,D002386,2736
6558,Myopia,955,0000545,D009216,2736
6559,Coloboma,955,0000589,D003103,2736
6560,Periodontitis,955,0000704,D010518,2736
6561,Pectus carinatum,955,0000768,D066166,2736
6562,Osteoporosis,955,0000939,D010024,2736
6563,Hypertrichosis,955,0000998,D006983,2736
6564,Hirsutism,955,0001007,D006628,2736
6565,Brachydactyly,955,0001156,D059327,2736
6566,Failure to thrive,955,0001508,D005183,2736
6567,Aortic valve stenosis,955,0001650,D001024,2736
6568,Splenomegaly,955,0001744,D013163,2736
6569,Facial hypertrichosis,955,0002219,C565029,2736
6570,Hepatomegaly,955,0002240,D006529,2736
6571,Arnold-Chiari malformation,955,0002308,D001139,2736
6572,Headache,955,0002315,D006261,2736
6573,Hernia,955,0100790,D006547,2736
6574,Scoliosis,955,0002650,D012600,2736
6575,Platybasia,955,0002691,D010985,2736
6576,Osteolysis,955,0002797,D010014,2736
6577,Kyphosis,955,0002808,D007738,2736
6578,Arthralgia,955,0002829,D018771,2736
6579,Patellar dislocation,955,0002999,D031222,2736
6580,Syringomyelia,955,0003396,D013595,2736
6581,Skin ulcer,955,0200042,D012883,2736
6582,Open bite,955,0010807,D024343,2736
6583,Pain,955,0012531,D010146,2736
6584,Hypospadias,1552,0000047,D007021,0111546
6585,Vesicoureteral reflux,1552,0000076,D014718,0111546
6586,Teratoma,1552,0009792,D013724,0111546
6587,Hypospadias,2508,0000047,D007021,0112151
6588,Microcephaly,2508,0000252,D008831,0112151
6589,Strabismus,2508,0000486,D013285,0112151
6590,Hirsutism,2508,0001007,D006628,0112151
6591,Intellectual disability,2508,0001249,D008607,0112151
6592,Agenesis of corpus callosum,2508,0001274,D061085,0112151
6593,Hernia,2508,0100790,D006547,0112151
6594,Scoliosis,2508,0002650,D012600,0112151
6595,Hypospadias,2315,0000047,D007021,14694
6596,Hydronephrosis,2315,0000126,D006869,14694
6597,Microcephaly,2315,0000252,D008831,14694
6598,Diabetes mellitus,2315,0000819,D003920,14694
6599,Edema,2315,0000969,D004487,14694
6600,Intellectual disability,2315,0001249,D008607,14694
6601,Failure to thrive,2315,0001508,D005183,14694
6602,Alopecia,2315,0001596,D000505,14694
6603,Dextrocardia,2315,0001651,D003914,14694
6604,Exocrine pancreatic insufficiency,2315,0001738,D010188,14694
6605,Anemia,2315,0001903,D000740,14694
6606,Glucose intolerance,2315,0001952,D018149,14694
6607,Hypoproteinemia,2315,0003075,D007019,14694
6608,Ureterocele,1934,0000070,D014518,0050709
6624,Cleft palate,1934,0000175,D002972,0050709
6640,Microcephaly,1934,0000252,D008831,0050709
6656,Strabismus,1934,0000486,D013285,0050709
6672,Intellectual disability,1934,0001249,D008607,0050709
6688,Ataxia,1934,0001251,D001259,0050709
6704,Muscle weakness,1934,0001324,D018908,0050709
6720,Dystonia,1934,0001332,D004421,0050709
6736,Myoclonus,1934,0001336,D009207,0050709
6752,Tremor,1934,0001337,D014202,0050709
6768,Lissencephaly,1934,0001339,D054082,0050709
6784,Failure to thrive,1934,0001508,D005183,0050709
6800,Chorea,1934,0002072,D002819,0050709
6816,Episodic ataxia,1934,0002131,C580065,0050709
6832,Self-injurious behavior,1934,0100716,D016728,0050709
6848,Hernia,1934,0100790,D006547,0050709
6864,Ureterocele,79403,0000070,D014518,0060733
6866,Hydronephrosis,79403,0000126,D006869,0060733
6868,Ectropion,79403,0000656,D004483,0060733
6870,Hematuria,79403,0000790,D006417,0060733
